Period,Date,Hour,Demand Forecast
312,2020-04-12,3,39617.68452413867
312,2020-04-12,4,39820.07237784853
312,2020-04-12,5,40360.12286831787
312,2020-04-12,6,41455.95347519253
312,2020-04-12,7,42876.86301807787
312,2020-04-12,8,44498.063131214934
312,2020-04-12,9,45504.75919111894
312,2020-04-12,10,45625.3529899616
312,2020-04-12,11,45298.1767704928
312,2020-04-12,12,44565.176201875205
312,2020-04-12,13,43808.05687348907
312,2020-04-12,14,43319.389827744
312,2020-04-12,15,43045.6943364576
312,2020-04-12,16,43317.29254428586
312,2020-04-12,17,44250.5836831552
312,2020-04-12,18,45863.39466245973
312,2020-04-12,19,47377.633319232
312,2020-04-12,20,48298.34075735253
312,2020-04-12,21,48016.256132233604
312,2020-04-12,22,46373.03454278613
312,2020-04-12,23,44034.56348696747
312,2020-04-13,0,39295.60376608509
312,2020-04-13,1,38111.821464387926
312,2020-04-13,2,37674.120445273016
312,2020-04-13,3,37582.60114127626
312,2020-04-13,4,37774.59272466075
312,2020-04-13,5,38286.90187203389
312,2020-04-13,6,39326.44179243182
312,2020-04-13,7,40674.36197629708
312,2020-04-13,8,42212.28419345994
312,2020-04-13,9,43167.26823516522
312,2020-04-13,10,43281.667365161156
312,2020-04-13,11,42971.29755160695
312,2020-04-13,12,42275.9497962403
312,2020-04-13,13,41557.722214874455
312,2020-04-13,14,41094.15704463002
312,2020-04-13,15,40834.5207582914
312,2020-04-13,16,41092.16749454313
312,2020-04-13,17,41977.517283207395
312,2020-04-13,18,43507.481300022715
312,2020-04-13,19,44943.9364627544
312,2020-04-13,20,45817.34895089735
312,2020-04-13,21,45549.75446421119
312,2020-04-13,22,43990.94197113601
312,2020-04-13,23,41772.593624258145
312,2020-04-14,0,38626.63428343932
312,2020-04-14,1,37716.2386318448
312,2020-04-14,2,37480.091402968756
312,2020-04-14,3,37590.15097117795
312,2020-04-14,4,38307.14097378349
312,2020-04-14,5,40578.85594478109
312,2020-04-14,6,45426.81964347162
312,2020-04-14,7,49534.285470618735
312,2020-04-14,8,50301.496829591575
312,2020-04-14,9,49590.91806396909
312,2020-04-14,10,48739.29208471929
312,2020-04-14,11,47878.049249994896
312,2020-04-14,12,46983.68169085803
312,2020-04-14,13,46300.88495216214
312,2020-04-14,14,45574.27809408201
312,2020-04-14,15,45196.01511208146
312,2020-04-14,16,44892.54989488329
312,2020-04-14,17,45590.30618653966
312,2020-04-14,18,46523.14116757488
312,2020-04-14,19,47081.987324598274
312,2020-04-14,20,47091.60418007287
312,2020-04-14,21,46241.04674032024
312,2020-04-14,22,43973.60592731136
312,2020-04-14,23,41323.627974313225
312,2020-04-15,0,36642.38911757424
312,2020-04-15,1,35874.68449487004
312,2020-04-15,2,35609.2925656968
312,2020-04-15,3,35681.48730505044
312,2020-04-15,4,36396.31690738296
312,2020-04-15,5,38558.0917787328
312,2020-04-15,6,43416.49268903832
312,2020-04-15,7,47277.3860034858
312,2020-04-15,8,48125.41998406236
312,2020-04-15,9,47411.60720904468
312,2020-04-15,10,46533.06840902292
312,2020-04-15,11,45494.88772057128
312,2020-04-15,12,44561.44024554816
312,2020-04-15,13,43935.07461960673
