Period,Date,Hour,s -10,s -4,s -1,s 0,s 1,s 3,s 5,s 8,s 12,s 15,s 19,s 22,s 24,s 26,s 28,s 30,s 32,s 35,s 39,s 42,s 46,s 51,s 56,s 66,s 75,s 105,s 165,s 210
38,2019-07-15,8,20087.487098472855,21062.48065411678,22037.474209760712,23012.46776540464,23987.46132104857,24962.454876692496,25937.448432336423,26912.441987980354,27887.43554362428,28862.429099268207,29837.422654912138,30812.416210556068,31787.409766199995,32968.0298844,35156.79625085714,37579.55891885715,40432.673676385726,42773.79484431429,45782.54123694284,46975.36849668571,48180.6523905,48916.54788663214,49652.443382764286,50388.33887889643,51124.23437502857,51860.129871160716,52596.02536729286,53331.920863425
38,2019-07-15,9,19922.70596466857,20903.71412834619,21884.72229202381,22865.73045570143,23846.738619379048,24827.746783056667,25808.754946734283,26789.763110411903,27770.771274089522,28751.77943776714,29732.78760144476,30713.79576512238,31694.8039288,32950.737849714285,35227.6553632,37755.853326,40602.5982758,42882.71980082857,45952.853885014294,47138.0660214,48338.703716285716,49067.16117819276,49795.6186400998,50524.07610200684,51252.53356391388,51980.99102582092,52709.44848772796,53437.905949635
38,2019-07-15,10,20005.45491972857,20987.89389140119,21970.33286307381,22952.77183474643,23935.210806419047,24917.649778091665,25900.088749764283,26882.527721436905,27864.966693109523,28847.40566478214,29829.844636454764,30812.28360812738,31794.7225798,33076.26114377142,35352.97260034285,37881.728064457144,40739.97107491429,43009.06376045714,46069.73058128572,47266.79758274287,48456.429671785714,49183.18907270418,49909.94847362265,50636.70787454112,51363.467275459596,52090.226676378064,52816.98607729653,53543.745478215
38,2019-07-15,11,20114.980298254286,21101.54156644024,22088.102834626192,23074.664102812145,24061.225370998094,25047.786639184047,26034.34790737,27020.909175555953,28007.470443741906,28994.031711927855,29980.59298011381,30967.15424829976,31953.715516485714,33210.82906971429,35463.65066554286,37981.91261382857,40811.28333951428,43150.89325861428,46190.36525504286,47295.48629657143,48476.15153085714,49236.134894748975,49996.11825864082,50756.10162253265,51516.084986424496,52276.06835031633,53036.051714208166,53796.03507810001
38,2019-07-15,12,20135.19831492857,21127.664931460713,22120.131547992856,23112.598164525,24105.064781057143,25097.531397589286,26089.998014121433,27082.464630653576,28074.93124718572,29067.397863717862,30059.864480250006,31052.33109678215,32044.797713314292,33317.800119857144,35586.144879314284,38139.015971085726,40968.6430021,43268.4148992,46317.83695679999,47486.95310035714,48676.95273034286,49410.85849140031,50144.76425245776,50878.670013515206,51612.57577457266,52346.481535630104,53080.38729668755,53814.293057745
38,2019-07-15,13,20061.568155548575,21052.817800227862,22044.067444907145,23035.31708958643,24026.566734265718,25017.816378945,26009.066023624287,27000.31566830357,27991.565312982857,28982.814957662144,29974.06460234143,30965.314247020713,31956.5638917,33243.864192,35490.58267337143,37997.47458467142,40790.98271374286,43057.05140022856,46121.45904822857,47314.80135925714,48514.60791851428,49243.642599560815,49972.67728060734,50701.71196165388,51430.74664270041,52159.781323746945,52888.81600479347,53617.85068584001
38,2019-07-15,14,20138.772118680004,21146.601483500002,22154.430848320004,23162.26021314,24170.08957796,25177.91894278,26185.7483076,27193.577672419997,28201.407037239995,29209.236402059993,30217.065766879994,31224.895131699992,32019.66649448571,33313.50215700001,35521.2184026,38015.748099000004,40788.690343071416,43104.22513902857,46191.535453571436,47394.73903220001,48584.719482714296,49318.36860285797,50052.01772300164,50785.666843145314,51519.31596328899,52252.96508343266,52986.61420357633,53720.263323720006
38,2019-07-15,15,20143.57553074286,21155.617244135068,22167.658957527274,23179.700670919483,24191.74238431169,25203.784097703898,26215.825811096103,27227.867524488312,28239.909237880518,29251.950951272727,30263.992664664933,31276.034378057142,32070.707179200002,33369.80797722857,35573.21441537143,38085.44313299999,40865.38658434285,43228.2761719,46335.70042365715,47560.29769921428,48774.2679072,49517.63054408572,50260.99318097143,51004.35581785715,51747.718454742855,52491.08109162857,53234.443728514285,53977.8063654
38,2019-07-15,16,20043.461603031432,21057.245020062343,22071.02843709325,23084.81185412416,24098.595271155067,25112.378688185978,26126.162105216885,27139.945522247795,28153.728939278702,29167.512356309613,30181.29577334052,31195.07919037143,32014.736656428566,33313.47941585714,35550.305656200006,38006.835486914286,40812.965219357146,43215.459331000005,46294.66541562857,47529.13510902857,48746.536184971425,49495.84058311408,50245.14498125673,50994.44937939938,51743.75377754204,52493.058175684695,53242.36257382735,53991.66697197
38,2019-07-15,17,19910.63232996429,20931.295580040263,21951.958830116237,22972.62208019221,23993.285330268187,25013.94858034416,26034.611830420134,27055.275080496107,28075.938330572084,29096.601580648057,30117.26483072403,31137.928080800004,31964.36394762857,33298.97200640001,35583.441865099994,38046.63408008572,40867.106211900005,43158.631777757146,46268.839530342855,47511.07608474286,48741.81138617143,49488.120488384084,50234.42959059674,50980.73869280939,51727.04779502205,52473.356897234706,53219.66599944736,53965.97510166001
