ARIMA,AIC 2014-10-03 00:00:00,AIC 2017-03-11 00:00:00,AIC 2018-10-02 00:00:00,AIC 2018-07-02 00:00:00,AIC 2018-04-14 00:00:00,AIC 2014-05-10 00:00:00,AIC 2015-06-07 00:00:00,AIC 2014-08-30 00:00:00,AIC 2016-10-11 00:00:00,AIC 2018-04-08 00:00:00,AIC 2016-07-09 00:00:00,AIC 2016-08-25 00:00:00,Median AIC
"(1, 0, 1)",3758.4315012221196,3684.0210002095837,3822.4868881870843,3747.80321228184,3588.48018493705,3515.302177938057,3603.6650805765294,3736.3865870206937,3824.285955246218,3585.043649567252,3778.2875221404247,3805.7485940333945,3742.094899651267
"(1, 0, 2)",3731.8282991594892,3672.2426578547393,3807.0758894933274,3731.8539688018454,3583.4967055026764,3499.4702570770414,3588.2760145217226,3709.3990563018797,3797.1135887522955,3576.931953161746,3768.9292391308713,3788.164273071221,3720.6136777306847
"(1, 0, 3)",3718.9716704430275,3668.897205654109,3796.291159151794,3720.667318609122,3582.4308016761584,3489.0981742930026,3572.9682442103167,3686.681793436549,3786.2561070510137,3574.970712297045,3755.203664076056,3763.9377662792676,3702.8267319397883
"(1, 0, 4)",3717.0460622763294,3669.9921513276904,3789.3301135708293,3719.626244783278,3564.0910715018,3482.979496154696,3573.969046380378,3704.9175745395887,3772.2992625062825,3563.4180101236784,3754.201225397037,3720.514812105974,3710.981818407959
"(1, 1, 0)",3924.6296010071474,3740.0250935625954,3941.7989648594066,3904.2375302712007,3625.5894542165925,3638.3671531350983,3706.771502398554,3916.496023167217,3920.963230865308,3634.6620864636134,3873.225892714164,4040.1935735837737,3888.7317114926823
"(1, 1, 1)",3850.989250050189,3698.6819040920864,3936.353745646552,3905.5863912819486,3596.3928920549197,3577.667650976271,3658.1021145969717,3935.1241983104364,3926.2705501952014,3586.22601917482,3879.9008027403574,4032.003215419382,3865.445026395273
"(1, 1, 2)",3931.0259246379355,3721.578089704347,3941.8601109047504,3904.8078258729324,3609.524465138228,3574.8971816418843,3656.3114297114325,3924.022359534802,4040.373735072664,3597.2619293763055,4020.4050717596747,4039.3923478669794,3914.4150927038672
"(1, 1, 3)",3929.3319548254467,3725.480887651008,3936.4396752559596,3900.2546430176208,3610.9887988014516,3624.5487749488148,3705.7179494162006,3919.1934127135246,4025.255970203135,3597.3145863218087,4005.969467200062,4021.3912503458255,3909.7240278655727
"(1, 1, 4)",3930.5530472417827,3728.4807868942908,3942.7423963937417,3903.8182952400175,3624.0662244203913,3626.2176028254607,3712.180405585921,3917.091037075749,4044.1253079686717,3599.3080566528865,4011.666466901852,3908.221000448538,3906.0196478442776
"(1, 2, 0)",3700.248525082547,3650.0563145297765,3762.4503146086076,3682.5156199976896,3567.8056173659024,3454.8241015941176,3542.8185018861263,3682.8878974383306,3748.3124608231446,3556.568701328477,3677.6718880014932,3720.073047454711,3680.093753999591
"(1, 2, 1)",3702.210970342309,3646.5143568763356,3757.6248937636783,3684.5293411261687,3565.866665794577,3456.7875624133667,3542.201372429233,3684.920995009583,3750.232750234922,3555.7203046039367,3679.69689434241,3722.071277255719,3682.1131177342895
"(1, 2, 2)",3697.2570023168087,3647.982339545901,3766.43839198925,3686.4688222661334,3569.5171585468643,3458.901253144474,3546.881714033195,3687.354046198796,3752.4344956441264,3559.852178889363,3681.697598995286,3724.5576562204274,3684.08321063071
