ARIMA,AIC 2014-10-03 00:00:00,AIC 2017-03-11 00:00:00,AIC 2018-10-02 00:00:00,AIC 2018-07-02 00:00:00,AIC 2018-04-14 00:00:00,AIC 2014-05-10 00:00:00,AIC 2015-06-07 00:00:00,AIC 2014-08-30 00:00:00,AIC 2016-10-11 00:00:00,AIC 2018-04-08 00:00:00,AIC 2016-07-09 00:00:00,AIC 2016-08-25 00:00:00,Mean AIC
"(4, 1, 1)",3952.49073207005,3727.4387439993143,3951.935050638489,3909.955981887275,3592.7876562365855,3578.409392222107,3718.945581714664,3914.551180439069,4037.760987155474,3603.6143335525476,3924.9099031954975,4071.7732210602026,3832.047730347606
"(4, 1, 2)",3951.726109920871,3730.03921919888,3956.360127835843,3919.083460848536,3593.6792509394763,3584.2347153323426,3731.082533226895,3928.844577051523,4074.333503385944,3607.5053518924706,4001.5256822311517,4116.168234243006,3849.548563842245
"(4, 1, 3)",3972.1197576250283,3749.5466955530333,3967.823514387507,3925.977291785113,3609.17531399593,3607.5624109061937,3727.649154075315,3940.115927195422,4039.5591377744513,3614.8395349557422,3884.0075490239824,4069.526012042197,3842.3251916099925
"(4, 1, 4)",3966.3876362647666,3727.358389441738,3950.4758909851353,3904.316060385768,3607.3841719610314,3587.004199371617,3752.3040137269873,3904.9397034021868,4053.8810591673073,3634.2720708853603,3935.1096334334993,4076.549939894861,3841.6652307433546
"(4, 2, 0)",3692.5035450808373,3626.7562648534094,3752.6977122902217,3665.1082756880583,3542.2739554396285,3467.217807192971,3489.4472759605615,3668.948236890071,3762.915835347684,3519.962597127139,3708.7172630491,3730.086591904197,3635.552946735323
"(4, 2, 1)",3689.659384209655,3628.045517104954,3753.4424810666333,3667.0892357658568,3544.290725914115,3469.167609961775,3491.3940515609147,3670.8954356178356,3764.877495540342,3521.913780426816,3710.6791529769016,3732.101749540618,3636.9630516405346
"(4, 2, 2)",3693.609262665575,3629.582682686124,3751.0762933174756,3671.00201022871,3548.820618811932,3470.538522636722,3493.623101998516,3675.438517746582,3758.0899206845165,3524.9850353974557,3714.8507277066506,3735.251858499663,3638.9057126983275
"(4, 2, 3)",3699.282656387706,3641.8775774715486,3760.3774011827236,3669.1418514983857,3560.7780959338365,3480.571529710237,3504.5095877881186,3676.8832329673924,3769.7691265198855,3528.768842777594,3713.944561331534,3733.967372455305,3644.9893196686894
"(4, 2, 4)",3698.2470276758904,3631.8647968058467,3755.8201784349776,3674.6773416417163,3552.139624977678,3473.3751320970673,3496.9030673091875,3667.8643447824024,3770.8343260152405,3527.8663411826483,3709.933589809713,3737.281535161371,3641.4006088244773
"(4, 3, 0)",3745.910456490858,3748.1469320066053,3848.8172834901916,3767.7569776693626,3721.717135801463,3603.3218514252458,3609.5606627126635,3724.176836905908,3852.7924048638884,3682.9908243151135,3842.210097446816,3805.7263627073976,3746.093985486293
"(4, 3, 1)",3676.6578046771997,3618.72530735414,3739.2887280013465,3654.058089611548,3534.416149366015,3479.134652772005,3484.958326268378,3653.8209798504618,3748.94868501462,3545.300297032918,3696.434881014145,3717.7980375685447,3629.12849487761
"(4, 3, 2)",3680.5624065426764,3620.5914070195968,3738.994306582787,3654.946474867132,3548.0252256391705,3485.772523062534,3487.9454892086014,3656.22570876861,3744.164422066999,3563.862996205732,3700.8947650726095,3720.722132299151,3633.5589881113006
"(4, 3, 3)",3676.3178866810526,3650.5509015088146,3739.0856599877625,3656.3091494917867,3549.2830447650394,3492.362595358046,3492.799009814774,3654.9688318063245,3755.7492221365446,3550.4611503030037,3703.681013045739,3724.3641396576577,3637.1610503797115
"(4, 3, 4)",3680.3753232976037,3625.275244064004,3743.962079603544,3667.3320325958625,3552.5227916427502,3486.5324567915177,3490.296870276797,3657.2837930225533,3754.1954060813246,3555.4340066087825,3708.518487436564,3724.5222712374634,3637.187563554898
"(4, 4, 0)",3820.974753858986,3855.6608615247533,3916.4333868667027,3842.64552150618,3799.439574089145,3697.3731861559518,3696.773546496892,3803.781485436986,3931.6319342347783,3790.0016068333507,3913.565054695174,3893.523571178907,3830.150373573151
"(4, 4, 1)",3729.144824854943,3697.8064250555867,3812.8125795968353,3725.6039474667,3615.4409095030323,3539.9115512475255,3551.594491868421,3703.9222022477566,3812.4164946700203,3602.4452150801344,3773.864879113061,3780.1903656049963,3695.4294905257516
"(4, 4, 2)",3702.322843782546,3729.414579872305,3824.3651531270425,3737.208652826333,3657.399610698884,3553.7703819128787,3565.4807022678656,3707.188996382941,3828.9913420370176,3618.194627989148,3810.833875836891,3789.0859915009823,3710.3547298529033
"(4, 4, 3)",3742.4219854607118,3699.146205556519,3822.485247264617,3745.1729874702496,3640.499280748565,3541.0408628439136,3553.971081730817,3717.1216158631823,3825.865644267098,3602.454666615893,3809.8052880165706,3796.4931496182853,3708.0398346213683
"(4, 4, 4)",3725.2384091225294,3698.884201803906,3820.2918001979697,3741.9396956434516,3623.800042933872,3543.1614471239036,3554.9449193294085,3674.853530231215,3825.502674633406,3608.1538295627806,3802.7876135463903,3790.0076529098387,3700.7971514198894
