ARIMA,AIC 2014-10-03 00:00:00,AIC 2017-03-11 00:00:00,AIC 2018-10-02 00:00:00,AIC 2018-07-02 00:00:00,AIC 2018-04-14 00:00:00,AIC 2014-05-10 00:00:00,AIC 2015-06-07 00:00:00,AIC 2014-08-30 00:00:00,AIC 2016-10-11 00:00:00,AIC 2018-04-08 00:00:00,AIC 2016-07-09 00:00:00,AIC 2016-08-25 00:00:00,Mean AIC
"(0, 2, 0)",3770.0985046402316,3772.145153771471,3799.009236698829,3699.1871209832216,3604.1017721081053,3472.8417130215767,3534.5601442631296,3679.3429225255177,3767.126367153736,3551.690991395058,3712.3740821094766,3761.954180499295,3677.036015764137
"(0, 2, 1)",3696.257471825521,3746.8389928242686,3764.7860926084313,3705.8777985396164,3625.1556396194323,3473.9939206972285,3540.723467844243,3681.2194262622997,3768.47616635648,3541.2047591880882,3713.2972250391817,3766.941954047885,3668.7310762377233
"(0, 2, 2)",3691.852073842241,3666.864621580022,3750.7036644163927,3680.8954864047682,3578.404155016964,3466.3454595243047,3501.2899340185713,3668.9012874883992,3763.3162637764162,3522.1103090529996,3705.657198383946,3736.076215718097,3644.3680557685934
"(0, 2, 3)",3692.650652420309,3631.1092617738323,3750.7811468657655,3663.147418182665,3541.6007709340183,3464.7497900374465,3487.0371960929524,3666.687604198244,3760.5958908288285,3517.870895601085,3706.739571498045,3728.3152747674003,3634.2737894333823
"(0, 2, 4)",3693.191622231671,3626.7192230998357,3752.167414663311,3664.6015238145196,3541.2604671790896,3466.989270468277,3489.4327192812298,3668.7809402371704,3762.575973033976,3519.4670641345133,3708.979014383456,3730.3672495205024,3635.377706837296
"(0, 3, 0)",3835.336098806747,3916.2206597971694,3914.3427441289077,3819.8633562593254,3736.4123642450418,3596.3576545948717,3645.546628935287,3750.8746948036032,3864.0483212402137,3676.5884246209835,3839.659191958748,3872.675482956276,3788.993801862264
"(0, 3, 1)",3675.425525194767,3703.9292909614915,3749.936723033337,3686.2801548070647,3588.264543103938,3480.7036791801174,3521.5764521042047,3664.7344816175146,3752.1289177759095,3552.71582649192,3699.470037733159,3750.6712977952475,3652.1530774832227
"(0, 3, 2)",3676.91545623199,3819.361415967678,3885.631368909374,3833.942575657379,3846.9813679818462,3621.967035984001,3523.5437877842205,3668.0527143591044,3753.9820007555927,3727.6793731736097,3710.545951120457,3728.4705017414217,3733.0894624722227
"(0, 3, 3)",3673.5650437648314,3635.105017678214,3742.8029187332636,3666.4417072489146,3561.32446155143,3476.703116510228,3493.406303388929,3654.1368631465198,3761.736756069975,3542.261268546534,3716.56790195693,3730.6327678212388,3637.890343868084
"(0, 3, 4)",3673.7523046868178,3625.307779351771,3746.0365972639984,3659.4101082972516,3535.6841138385153,3475.9491724948966,3484.814654487508,3651.151768261335,3761.982665752401,3541.4554304303188,3723.220967826691,3730.6253186025033,3634.1159067745007
