Period,Date,Hour,System Price,Forecast,Upper,Lower,Pos,Neg
2,2019-06-09,05:00:00,2.71,23.769,40.356,11.592,0,1
2,2019-06-09,06:00:00,2.56,25.451,40.356,14.794,0,1
2,2019-06-09,07:00:00,4.05,28.243,40.356,20.063,0,1
2,2019-06-09,08:00:00,13.26,30.873,40.356,22.601,0,1
2,2019-06-09,09:00:00,14.54,32.71,40.356,24.963,0,1
2,2019-06-09,10:00:00,13.94,33.276,40.356,25.958,0,1
2,2019-06-09,11:00:00,15.07,33.332,40.356,26.383,0,1
2,2019-06-09,12:00:00,15.95,32.938,40.356,25.55,0,1
2,2019-06-09,13:00:00,13.69,32.054,40.356,23.929,0,1
2,2019-06-09,14:00:00,12.26,30.792,40.356,23.96,0,1
2,2019-06-09,15:00:00,11.92,30.967,40.356,23.193,0,1
2,2019-06-09,16:00:00,18.33,32.232,40.356,24.272,0,1
2,2019-06-10,00:00:00,14.59,29.981,40.516,21.091,0,1
2,2019-06-10,01:00:00,4.53,28.407,40.516,18.653,0,1
2,2019-06-10,02:00:00,4.31,26.579,40.516,15.047,0,1
2,2019-06-10,03:00:00,4.11,25.392,40.516,13.917,0,1
2,2019-06-10,04:00:00,3.79,23.326,40.516,9.304,0,1
2,2019-06-10,05:00:00,9.66,23.43,40.516,10.318,0,1
2,2019-06-11,03:00:00,19.46,26.301,40.346,12.493,0,1
2,2019-06-11,04:00:00,16.05,25.838,40.346,11.272,0,1
2,2019-06-12,03:00:00,19.31,29.473,40.446,16.656,0,1
2,2019-06-12,04:00:00,16.81,28.962,40.446,16.661,0,1
2,2019-06-13,02:00:00,18.93,24.399,40.536,9.37,0,1
2,2019-06-13,03:00:00,19.06,23.847,40.536,7.047,0,1
2,2019-06-13,04:00:00,18.15,23.066,40.536,5.167,0,1
3,2019-06-05,01:00:00,24.96,30.24,38.957,21.246,0,1
3,2019-06-05,02:00:00,20.54,29.456,38.957,20.78,0,1
3,2019-06-05,03:00:00,19.17,28.821,38.957,20.422,0,1
3,2019-06-05,04:00:00,12.14,28.168,38.957,19.811,0,1
3,2019-06-05,05:00:00,25.14,31.352,38.957,23.489,0,1
3,2019-06-06,00:00:00,13.83,25.011,39.117,13.299,0,1
3,2019-06-06,01:00:00,10.21,24.158,39.117,12.851,0,1
3,2019-06-06,02:00:00,7.78,23.331,39.117,10.821,0,1
3,2019-06-06,03:00:00,7.18,22.821,39.117,8.858,0,1
3,2019-06-06,04:00:00,4.3,21.916,39.117,7.906,0,1
3,2019-06-06,05:00:00,9.03,25.378,39.117,14.505,0,1
3,2019-06-06,16:00:00,25.6,33.789,39.419,27.281,0,1
3,2019-06-07,00:00:00,22.31,28.292,39.297,20.038,0,1
3,2019-06-07,01:00:00,19.93,26.732,39.297,16.875,0,1
3,2019-06-07,02:00:00,19.01,25.536,39.297,14.214,0,1
3,2019-06-07,03:00:00,19.07,24.858,39.297,13.212,0,1
3,2019-06-07,04:00:00,19.0,24.172,39.297,12.374,0,1
3,2019-06-08,00:00:00,14.44,29.98,39.447,22.468,0,1
3,2019-06-08,01:00:00,12.08,28.812,39.447,20.384,0,1
3,2019-06-08,02:00:00,10.61,27.477,39.447,17.973,0,1
3,2019-06-08,03:00:00,6.37,26.376,39.447,14.838,0,1
3,2019-06-08,04:00:00,3.98,24.544,39.447,12.797,0,1
3,2019-06-08,05:00:00,4.87,24.235,39.447,12.84,0,1
3,2019-06-08,06:00:00,4.69,26.472,39.447,15.133,0,1
3,2019-06-08,07:00:00,11.34,29.864,39.447,21.896,0,1
3,2019-06-08,08:00:00,15.03,33.081,39.447,25.607,0,1
3,2019-06-08,09:00:00,20.03,34.583,40.543,27.527,0,1
3,2019-06-08,10:00:00,20.04,34.654,40.614,27.527,0,1
3,2019-06-08,11:00:00,14.92,34.092,40.052,27.095,0,1
3,2019-06-08,12:00:00,14.16,33.097,39.447,26.058,0,1
3,2019-06-08,13:00:00,11.12,31.795,39.447,24.25,0,1
3,2019-06-08,14:00:00,9.57,30.477,39.447,23.397,0,1
3,2019-06-08,15:00:00,7.75,30.176,39.447,23.179,0,1
3,2019-06-08,16:00:00,8.57,30.8,39.447,23.323,0,1
3,2019-06-08,17:00:00,10.88,32.891,39.447,26.26,0,1
3,2019-06-08,18:00:00,11.02,34.197,40.157,27.527,0,1
3,2019-06-08,19:00:00,8.86,34.452,40.412,27.527,0,1
3,2019-06-08,20:00:00,5.36,33.436,39.447,26.322,0,1
3,2019-06-08,21:00:00,3.98,32.692,39.447,25.6,0,1
3,2019-06-08,22:00:00,3.02,32.488,39.447,24.978,0,1
3,2019-06-08,23:00:00,2.31,30.329,39.447,23.265,0,1
3,2019-06-09,00:00:00,13.61,29.317,39.677,21.366,0,1
3,2019-06-09,01:00:00,5.79,27.896,39.677,18.603,0,1
3,2019-06-09,02:00:00,3.82,26.402,39.677,14.915,0,1
3,2019-06-09,03:00:00,2.94,25.356,39.677,13.696,0,1
3,2019-06-09,04:00:00,2.47,23.619,39.677,11.075,0,1
3,2019-06-09,05:00:00,2.71,23.181,39.677,11.591,0,1
3,2019-06-09,06:00:00,2.56,25.205,39.677,13.378,0,1
3,2019-06-09,07:00:00,4.05,27.773,39.677,18.873,0,1
3,2019-06-09,08:00:00,13.26,30.511,39.677,23.272,0,1
3,2019-06-09,09:00:00,14.54,32.528,39.677,25.413,0,1
3,2019-06-09,10:00:00,13.94,33.06,39.677,26.141,0,1
3,2019-06-09,11:00:00,15.07,33.124,39.677,25.915,0,1
3,2019-06-09,12:00:00,15.95,32.653,39.677,25.118,0,1
3,2019-06-09,13:00:00,13.69,31.576,39.677,24.289,0,1
3,2019-06-09,14:00:00,12.26,30.562,39.677,23.753,0,1
3,2019-06-09,15:00:00,11.92,30.615,39.677,23.175,0,1
3,2019-06-09,16:00:00,18.33,31.786,39.677,23.9,0,1
3,2019-06-10,00:00:00,14.59,29.56,39.847,21.519,0,1
3,2019-06-10,01:00:00,4.53,28.14,39.847,18.235,0,1
3,2019-06-10,02:00:00,4.31,26.467,39.847,15.899,0,1
3,2019-06-10,03:00:00,4.11,25.324,39.847,13.146,0,1
3,2019-06-10,04:00:00,3.79,23.194,39.847,10.805,0,1
3,2019-06-10,05:00:00,9.66,23.116,39.847,11.135,0,1
3,2019-06-11,03:00:00,19.46,27.442,40.007,17.232,0,1
3,2019-06-11,04:00:00,16.05,26.872,40.007,16.262,0,1
3,2019-06-12,03:00:00,19.31,29.309,39.837,17.319,0,1
3,2019-06-12,04:00:00,16.81,28.66,39.837,15.975,0,1
3,2019-06-13,02:00:00,18.93,24.335,39.937,9.808,0,1
3,2019-06-13,03:00:00,19.06,23.814,39.937,7.169,0,1
3,2019-06-13,04:00:00,18.15,22.942,39.937,6.955,0,1
4,2019-06-06,00:00:00,13.83,24.315,38.359,12.813,0,1
4,2019-06-06,01:00:00,10.21,23.303,38.359,12.077,0,1
4,2019-06-06,02:00:00,7.78,22.281,38.359,8.911,0,1
4,2019-06-06,03:00:00,7.18,21.619,38.359,8.056,0,1
4,2019-06-06,04:00:00,4.3,20.208,38.359,6.355,0,1
4,2019-06-06,05:00:00,9.03,24.134,38.359,12.156,0,1
4,2019-06-06,16:00:00,25.6,33.402,38.872,27.149,0,1
4,2019-06-07,00:00:00,22.31,27.485,38.519,17.717,0,1
4,2019-06-07,01:00:00,19.93,25.774,38.519,16.044,0,1
4,2019-06-07,02:00:00,19.01,24.389,38.519,12.695,0,1
4,2019-06-07,03:00:00,19.07,23.694,38.519,12.421,0,1
4,2019-06-07,04:00:00,19.0,22.943,38.519,10.51,0,1
4,2019-06-08,00:00:00,14.44,29.376,38.699,21.702,0,1
4,2019-06-08,01:00:00,12.08,28.044,38.699,19.274,0,1
4,2019-06-08,02:00:00,10.61,26.481,38.699,17.111,0,1
4,2019-06-08,03:00:00,6.37,25.359,38.699,13.749,0,1
4,2019-06-08,04:00:00,3.98,23.509,38.699,10.484,0,1
4,2019-06-08,05:00:00,4.87,23.243,38.699,11.957,0,1
4,2019-06-08,06:00:00,4.69,25.476,38.699,14.488,0,1
4,2019-06-08,07:00:00,11.34,29.385,38.699,21.64,0,1
4,2019-06-08,08:00:00,15.03,32.606,38.699,24.836,0,1
4,2019-06-08,09:00:00,20.03,34.005,39.815,27.079,0,1
4,2019-06-08,10:00:00,20.04,34.123,39.933,27.079,0,1
4,2019-06-08,11:00:00,14.92,33.679,39.489,27.079,0,1
4,2019-06-08,12:00:00,14.16,32.837,38.699,25.641,0,1
4,2019-06-08,13:00:00,11.12,31.655,38.699,24.71,0,1
4,2019-06-08,14:00:00,9.57,30.702,38.699,23.365,0,1
4,2019-06-08,15:00:00,7.75,30.367,38.699,23.193,0,1
4,2019-06-08,16:00:00,8.57,30.696,38.699,23.491,0,1
4,2019-06-08,17:00:00,10.88,32.615,38.699,25.954,0,1
4,2019-06-08,18:00:00,11.02,33.842,39.652,27.079,0,1
4,2019-06-08,19:00:00,8.86,33.981,39.791,27.079,0,1
4,2019-06-08,20:00:00,5.36,33.062,38.872,26.03,0,1
4,2019-06-08,21:00:00,3.98,32.308,38.699,25.72,0,1
4,2019-06-08,22:00:00,3.02,32.069,38.699,24.932,0,1
4,2019-06-08,23:00:00,2.31,29.954,38.699,22.543,0,1
4,2019-06-09,00:00:00,13.61,28.73,38.849,21.094,0,1
4,2019-06-09,01:00:00,5.79,27.155,38.849,17.893,0,1
4,2019-06-09,02:00:00,3.82,25.444,38.849,14.351,0,1
4,2019-06-09,03:00:00,2.94,24.374,38.849,12.927,0,1
4,2019-06-09,04:00:00,2.47,22.614,38.849,8.991,0,1
4,2019-06-09,05:00:00,2.71,22.221,38.849,8.972,0,1
4,2019-06-09,06:00:00,2.56,24.249,38.849,13.09,0,1
4,2019-06-09,07:00:00,4.05,27.327,38.849,18.765,0,1
4,2019-06-09,08:00:00,13.26,30.043,38.849,22.226,0,1
4,2019-06-09,09:00:00,14.54,32.137,38.849,25.043,0,1
4,2019-06-09,10:00:00,13.94,32.674,38.849,25.635,0,1
4,2019-06-09,11:00:00,15.07,32.799,38.849,26.506,0,1
4,2019-06-09,12:00:00,15.95,32.433,38.849,25.766,0,1
4,2019-06-09,13:00:00,13.69,31.467,38.849,24.85,0,1
4,2019-06-09,14:00:00,12.26,30.775,38.849,23.467,0,1
