Date,SE1,SE2,SE3,SE4,FI,DK1,DK2,EE,LV,LT
03-08-2019,,,,,9012.0,3537,746,870,187,2321
04-08-2019,,,,,13665.0,5775,2490,753,106,2031
05-08-2019,,,,,10818.0,3454,496,1796,55,759
06-08-2019,,,,,2373.0,19276,4105,588,154,751
07-08-2019,,,,,3625.0,20722,3086,125,155,1134
08-08-2019,,,,,3100.0,30588,11306,147,78,2492
09-08-2019,,,,,4060.0,17214,5840,105,73,2002
10-08-2019,,,,,4947.0,50126,14136,176,75,1398
11-08-2019,,,,,18776.0,54644,15105,1688,582,3141
12-08-2019,,,,,16412.0,49687,7236,1086,115,1907
13-08-2019,,,,,8613.0,23843,7890,718,206,1048
14-08-2019,,,,,6440.0,18445,6133,1851,378,2169
15-08-2019,,,,,11256.0,21491,9055,1640,214,1446
16-08-2019,,,,,10692.0,19374,5582,721,195,1745
17-08-2019,,,,,20369.0,49796,9625,996,72,573
18-08-2019,,,,,28324.0,15203,3320,1308,204,2326
19-08-2019,,,,,33339.0,42981,9087,1995,329,2377
20-08-2019,,,,,28763.0,25565,5135,1378,282,591
21-08-2019,,,,,17120.0,15488,3415,651,115,1130
22-08-2019,,,,,11505.0,36796,3954,1485,201,900
23-08-2019,,,,,16307.0,33527,2697,3023,701,2427
24-08-2019,,,,,7865.0,5504,2350,1161,98,1616
25-08-2019,,,,,23219.0,8395,5544,341,59,498
26-08-2019,,,,,15805.0,9354,4246,989,23,397
27-08-2019,,,,,7393.0,11462,5078,174,128,1141
28-08-2019,,,,,13852.0,10900,2577,1019,368,3702
29-08-2019,,,,,20526.0,9405,4222,1590,253,2435
30-08-2019,,,,,20770.0,27200,1189,724,90,1333
31-08-2019,,,,,21852.0,19355,1965,221,14,189
01-09-2019,,,,,17768.0,20639,7650,1132,281,2892
02-09-2019,,,,,19692.0,33743,8851,1687,231,2652
03-09-2019,,,,,13210.0,44273,14621,654,174,864
04-09-2019,,,,,13466.0,36204,9804,1408,294,2083
05-09-2019,,,,,25735.0,45787,16538,2715,529,3465
06-09-2019,,,,,27032.0,42887,15079,2222,548,3859
07-09-2019,,,,,16361.0,16012,5798,1033,229,1938
08-09-2019,,,,,9748.0,6931,606,1393,176,2506
09-09-2019,,,,,7999.0,2802,2515,1246,281,3007
10-09-2019,,,,,9417.0,27322,14657,2061,822,7844
11-09-2019,,,,,21309.0,49127,15585,4242,940,6065
12-09-2019,,,,,25911.0,40678,10028,4222,775,4887
13-09-2019,,,,,20549.0,37836,15387,2910,763,6058
14-09-2019,,,,,16178.0,46687,6916,3186,550,5189
15-09-2019,,,,,26364.0,73505,20634,4023,1131,8350
16-09-2019,,,,,15246.0,57201,17312,3632,1110,8449
17-09-2019,,,,,6401.0,60463,19357,504,358,3930
18-09-2019,,,,,5593.0,48346,14986,1035,147,2649
19-09-2019,,,,,10792.0,17131,3506,693,215,2430
20-09-2019,,,,,9438.0,36903,7243,1008,133,2149
