Date,DK1,DK2,EE,LV,LT
11-08-2014,57737,12592,1074,240,1122
12-08-2014,40003,10632,618,151,772
13-08-2014,31306,6069,1296,242,1094
14-08-2014,31479,5605,1003,147,1887
15-08-2014,19478,3164,468,85,530
16-08-2014,45286,10053,365,149,669
17-08-2014,38817,15406,460,276,1696
18-08-2014,39383,18421,3000,453,2466
19-08-2014,61563,15875,3412,643,2906
20-08-2014,57177,16043,3379,721,3680
21-08-2014,33221,7587,2974,501,1621
22-08-2014,24942,9567,2051,368,1142
23-08-2014,26248,9670,1078,239,985
24-08-2014,48651,10370,759,72,296
25-08-2014,27076,6018,850,256,2688
26-08-2014,6192,2143,1492,386,1537
27-08-2014,6131,3013,1135,553,2308
28-08-2014,4919,708,1020,510,1765
29-08-2014,15069,2557,493,156,759
30-08-2014,13728,2968,330,10,307
31-08-2014,13344,2110,686,138,765
01-09-2014,7769,6213,485,128,876
02-09-2014,2255,3271,64,37,562
03-09-2014,4155,2819,590,9,291
04-09-2014,10202,5173,598,7,421
05-09-2014,6698,3156,667,53,714
06-09-2014,9929,3381,73,69,438
07-09-2014,4854,952,170,94,569
08-09-2014,30564,5674,754,181,923
09-09-2014,38394,11594,950,105,108
10-09-2014,19695,6693,199,115,426
11-09-2014,6985,3121,26,18,261
12-09-2014,3364,2370,49,40,1013
13-09-2014,10696,5112,671,159,996
14-09-2014,27446,11762,294,229,1577
15-09-2014,38822,14071,141,128,1313
16-09-2014,30869,9790,123,103,801
17-09-2014,24045,7025,134,108,776
18-09-2014,22889,6941,47,87,1141
19-09-2014,12330,2075,654,188,1602
20-09-2014,1906,383,952,85,560
21-09-2014,32827,6723,1283,92,367
22-09-2014,42984,13417,1104,80,373
23-09-2014,7986,1526,3331,652,2446
24-09-2014,15843,12110,2379,375,1230
25-09-2014,35457,10412,2968,354,1729
26-09-2014,41726,8437,2494,404,951
27-09-2014,41882,7554,3769,602,3304
28-09-2014,21108,3822,2824,560,2798
29-09-2014,3436,196,2060,204,1416
30-09-2014,9370,2167,2548,154,469
01-10-2014,7876,1437,127,140,855
02-10-2014,3895,709,724,136,756
03-10-2014,5027,2424,206,12,169
04-10-2014,31678,7414,249,28,150
05-10-2014,19517,6803,1390,129,796
06-10-2014,53302,14088,1399,438,2909
07-10-2014,58340,16376,3149,729,4065
08-10-2014,42683,11745,3514,491,2682
09-10-2014,44008,9712,1016,172,1219
10-10-2014,44724,8954,1470,216,1005
11-10-2014,10499,1113,1472,54,311
12-10-2014,8668,3740,358,171,1594
13-10-2014,13485,4724,154,56,475
14-10-2014,21004,1356,769,197,537
15-10-2014,21909,3123,3797,274,288
16-10-2014,9120,1803,1642,105,221
17-10-2014,10018,1438,474,55,494
18-10-2014,33901,6293,335,76,513
19-10-2014,48809,11714,3251,530,2292
20-10-2014,51495,15002,681,575,4032
21-10-2014,28224,7819,1451,148,633
22-10-2014,21807,3016,2446,561,3222
23-10-2014,24307,2831,1855,340,2595
24-10-2014,51929,11434,3786,469,2864
25-10-2014,26825,9919,4488,504,2801
26-10-2014,60321,11536,4756,495,1963
27-10-2014,62798,11729,5228,918,3449
28-10-2014,52882,8389,4566,763,2448
29-10-2014,24408,5317,4533,607,2314
30-10-2014,6340,711,629,36,363
31-10-2014,15109,2645,1005,7,69
01-11-2014,28291,4760,437,55,266
02-11-2014,48677,7429,4116,592,2162
03-11-2014,50627,14531,4550,557,2264
04-11-2014,17763,8217,4079,382,2300
05-11-2014,14185,4708,1840,87,753
06-11-2014,14851,4028,2195,164,774
07-11-2014,31901,4867,474,49,371
08-11-2014,38232,7241,837,90,301
09-11-2014,34338,6216,1273,120,613
10-11-2014,19094,3205,2509,206,1366
11-11-2014,24592,3611,1852,116,470
12-11-2014,49420,11346,262,222,1502
13-11-2014,16809,2378,1426,225,1395
14-11-2014,40313,8137,577,159,1225
15-11-2014,67529,17419,968,396,2062
16-11-2014,68469,18327,1930,511,3213
17-11-2014,37962,4305,1155,258,1895
18-11-2014,30244,10372,671,232,2185
19-11-2014,17639,6446,1295,157,1184
20-11-2014,2023,704,681,66,334
21-11-2014,1377,246,146,28,153
22-11-2014,21606,6646,37,12,66
23-11-2014,41536,12985,328,73,439
24-11-2014,36934,12062,3191,626,3490
25-11-2014,9995,2579,2863,215,1321
26-11-2014,17519,2981,787,21,631
27-11-2014,44549,10337,648,61,796
28-11-2014,59085,14072,305,117,962
29-11-2014,42965,13417,79,28,270
30-11-2014,43350,11957,18,16,186
01-12-2014,43751,13289,123,15,402
02-12-2014,11393,3086,2013,134,1442
03-12-2014,2837,462,3057,141,651
04-12-2014,10991,5727,2351,123,118
05-12-2014,13473,4623,1652,180,1556
06-12-2014,20179,5116,2688,235,1408
07-12-2014,53172,15834,2655,320,1346
08-12-2014,21366,11108,3533,380,2158
09-12-2014,31696,8446,2603,206,1046
10-12-2014,65326,20281,5168,833,3645
11-12-2014,48848,18756,4500,689,2677
12-12-2014,37141,18598,3386,552,3692
13-12-2014,48043,15728,3872,729,4928
14-12-2014,57622,14598,2554,490,2236
15-12-2014,47504,17667,4631,632,2181
16-12-2014,40053,14104,3573,498,2476
17-12-2014,26179,11030,1879,342,2918
18-12-2014,47495,13732,2287,323,1669
19-12-2014,59617,17362,3132,696,4203
20-12-2014,66997,19717,2490,560,3842
21-12-2014,54654,17211,3273,455,2314
22-12-2014,55782,18251,1444,447,3713
23-12-2014,44200,12693,1001,438,4150
24-12-2014,26599,13956,875,203,2068
25-12-2014,26388,9858,2448,206,1383
26-12-2014,9924,1622,2964,316,655
27-12-2014,9745,1487,859,306,962
28-12-2014,13522,2453,620,52,18
29-12-2014,16349,3029,381,49,426
30-12-2014,30741,5761,4101,489,2455
31-12-2014,37998,9684,3177,371,2597
