Date,SE1,SE2,SE3,SE4,DK1,DK2,EE,LV,LT
23-04-2015,3062.0,27743.0,30060.0,22037.0,40347,10381,4009,387,3458
24-04-2015,1074.0,11482.0,15000.0,12270.0,17846,3092,1881,362,2561
25-04-2015,2457.0,14038.0,12967.0,7615.0,30722,4714,602,81,343
26-04-2015,5232.0,13616.0,16306.0,4096.0,9500,2522,940,38,555
27-04-2015,1314.0,1548.0,6643.0,2268.0,17943,2033,858,58,1018
28-04-2015,1735.0,4209.0,3876.0,4446.0,16891,2964,396,73,550
29-04-2015,572.0,3845.0,12142.0,11624.0,33279,7087,2835,417,2205
30-04-2015,3354.0,11462.0,14693.0,12477.0,14946,4996,1237,111,893
01-05-2015,4035.0,3960.0,6070.0,4589.0,4056,894,1862,265,1364
02-05-2015,1996.0,12071.0,13835.0,11994.0,11497,2150,1039,275,2888
03-05-2015,2717.0,9574.0,4637.0,4925.0,25903,8078,632,39,175
04-05-2015,1471.0,8312.0,18503.0,10756.0,29996,7002,579,308,1994
05-05-2015,5438.0,11761.0,13390.0,13339.0,44756,13289,1192,113,683
06-05-2015,6686.0,15759.0,19996.0,12022.0,49746,7845,2840,267,1002
07-05-2015,4357.0,11037.0,22261.0,16101.0,55874,13686,672,148,537
08-05-2015,1807.0,6434.0,29694.0,11361.0,13598,1585,1508,401,1133
09-05-2015,4559.0,15099.0,9031.0,7429.0,38899,6688,1506,86,266
10-05-2015,2978.0,4788.0,8377.0,11139.0,38217,13273,984,246,1269
11-05-2015,3828.0,16083.0,23397.0,11544.0,45659,8095,700,74,296
12-05-2015,1275.0,8044.0,19419.0,12152.0,30781,8376,3074,603,2664
13-05-2015,4351.0,21278.0,22860.0,21186.0,60388,16644,4372,786,4162
14-05-2015,10467.0,31164.0,16683.0,5330.0,11608,4906,2060,58,896
15-05-2015,7590.0,18074.0,13436.0,6253.0,6232,1892,1238,236,1356
16-05-2015,1107.0,7185.0,8194.0,7908.0,37917,8330,909,235,789
