Date,DK1,DK2
27-05-2020,35118,4640
28-05-2020,18490,4083
29-05-2020,4364,635
30-05-2020,15242,1550
31-05-2020,13709,8481
01-06-2020,4403,2833
02-06-2020,3601,1460
03-06-2020,7742,4807
04-06-2020,31424,10618
05-06-2020,27775,8621
06-06-2020,37296,13816
07-06-2020,14832,4739
08-06-2020,6835,2057
09-06-2020,3485,1035
10-06-2020,7598,3827
11-06-2020,38998,13361
12-06-2020,38525,12111
13-06-2020,32379,13713
14-06-2020,35451,16189
15-06-2020,5272,2684
16-06-2020,5601,1860
17-06-2020,3296,1029
18-06-2020,3422,3979
19-06-2020,6830,3325
20-06-2020,20070,9557
21-06-2020,6550,3600
22-06-2020,23504,6338
23-06-2020,11313,2472
24-06-2020,2153,826
25-06-2020,10031,7183
26-06-2020,17768,3506
27-06-2020,14086,1575
28-06-2020,28914,1878
29-06-2020,39240,5295
30-06-2020,40232,18208
01-07-2020,26103,8680
02-07-2020,26284,5235
03-07-2020,22993,3033
04-07-2020,35081,16685
05-07-2020,43156,18378
06-07-2020,46022,17740
07-07-2020,52646,13387
08-07-2020,40656,8149
09-07-2020,14088,997
10-07-2020,25719,4325
11-07-2020,53721,13475
12-07-2020,49076,9125
13-07-2020,20313,2941
14-07-2020,20232,2111
15-07-2020,6931,1318
16-07-2020,4126,2560
17-07-2020,5953,1831
18-07-2020,16178,1119
19-07-2020,8315,2621
20-07-2020,35898,5723
21-07-2020,45041,9174
22-07-2020,36184,5493
23-07-2020,19814,2317
24-07-2020,34705,11927
25-07-2020,15345,2846
26-07-2020,36039,6395
27-07-2020,27675,3937
28-07-2020,41866,14129
29-07-2020,53798,18826
30-07-2020,60611,14443
31-07-2020,12919,3026
01-08-2020,24018,5339
02-08-2020,17808,2735
03-08-2020,17708,2960
04-08-2020,15139,2581
05-08-2020,34256,6080
06-08-2020,14253,3648
07-08-2020,6765,3625
08-08-2020,5785,1095
09-08-2020,4872,1541
10-08-2020,8267,4499
11-08-2020,11381,8401
12-08-2020,15936,7404
13-08-2020,6895,5348
14-08-2020,3954,2139
15-08-2020,3405,1504
16-08-2020,6109,4049
17-08-2020,14591,6306
18-08-2020,6134,1375
19-08-2020,1885,735
20-08-2020,14077,3785
21-08-2020,44726,4522
22-08-2020,47141,8664
23-08-2020,35538,13323
24-08-2020,16528,3049
25-08-2020,16840,3805
26-08-2020,23010,11232
27-08-2020,15910,8901
28-08-2020,17511,3229
29-08-2020,10360,1295
30-08-2020,8703,1061
31-08-2020,6389,3462
01-09-2020,5757,2939
02-09-2020,5535,2820
03-09-2020,25934,6446
04-09-2020,43994,9782
05-09-2020,38002,10195
06-09-2020,37758,8521
07-09-2020,34008,6161
08-09-2020,41692,14826
09-09-2020,57113,14813
10-09-2020,39398,9220
11-09-2020,32764,3844
12-09-2020,45675,11807
13-09-2020,49330,13201
14-09-2020,22611,2724
15-09-2020,1198,449
16-09-2020,31559,5907
17-09-2020,11566,5438
18-09-2020,14365,697
19-09-2020,3192,462
20-09-2020,1332,525
21-09-2020,6894,441
22-09-2020,6363,447
23-09-2020,21453,2290
24-09-2020,48173,10633
25-09-2020,26979,6038
26-09-2020,32728,7087
27-09-2020,53108,5705
28-09-2020,18894,2773
29-09-2020,11487,1622
30-09-2020,15409,2078
01-10-2020,50394,5363
02-10-2020,52390,9074
03-10-2020,72853,16928
04-10-2020,37923,6552
05-10-2020,34327,4563
06-10-2020,19710,7812
07-10-2020,12875,7891
08-10-2020,20337,10799
09-10-2020,32186,6759
10-10-2020,20393,9639
11-10-2020,10824,6165
12-10-2020,9025,1007
13-10-2020,8228,1873
14-10-2020,37490,17927
15-10-2020,27494,11596
16-10-2020,10332,2570
17-10-2020,22895,3769
18-10-2020,32016,11908
19-10-2020,16396,5943
20-10-2020,41438,11560
21-10-2020,28509,9869
22-10-2020,62968,17877
23-10-2020,33458,10692
24-10-2020,31780,11000
25-10-2020,50523,15509
26-10-2020,31198,5678
27-10-2020,51411,15546
28-10-2020,45991,14344
29-10-2020,13972,11767
30-10-2020,21867,5901
31-10-2020,21748,5006
01-11-2020,45421,12554
02-11-2020,60685,19831
03-11-2020,44829,15343
04-11-2020,48749,16862
05-11-2020,58036,17264
06-11-2020,24883,7858
07-11-2020,8455,1969
08-11-2020,5914,1315
09-11-2020,13119,3569
10-11-2020,11820,3495
11-11-2020,9391,2220
12-11-2020,27367,5290
13-11-2020,21232,4258
14-11-2020,20162,3635
15-11-2020,38026,14426
16-11-2020,32043,18609
17-11-2020,34965,17624
18-11-2020,50445,19769
19-11-2020,47951,23589
20-11-2020,24322,9549
21-11-2020,45138,22419
22-11-2020,43187,19846
23-11-2020,37049,17049
24-11-2020,44834,17813
25-11-2020,32592,6463
26-11-2020,22356,7106
27-11-2020,2099,1193
28-11-2020,5109,1184
29-11-2020,2255,1472
30-11-2020,30112,6410
01-12-2020,5215,2206
02-12-2020,13599,3368
03-12-2020,53082,15414
04-12-2020,42883,14267
05-12-2020,29874,6981
06-12-2020,21084,7211
07-12-2020,53931,14481
08-12-2020,11127,2248
09-12-2020,13329,3258
10-12-2020,17579,3975
11-12-2020,35126,9067
12-12-2020,27615,7227
13-12-2020,14432,1306
14-12-2020,40323,11364
15-12-2020,21962,4857
16-12-2020,23681,6089
17-12-2020,32968,11888
18-12-2020,40045,10304
19-12-2020,36390,8017
20-12-2020,33438,6238
21-12-2020,28218,9816
22-12-2020,32719,14849
23-12-2020,14459,2797
24-12-2020,22560,4590
25-12-2020,11185,5905
26-12-2020,30754,12603
27-12-2020,48314,22725
28-12-2020,23765,10844
29-12-2020,8518,5685
30-12-2020,6345,14652
31-12-2020,7913,11496
