ARIMA,AIC 2015-04-02 00:00:00,AIC 2017-09-08 00:00:00,AIC 2019-04-01 00:00:00,AIC 2018-12-30 00:00:00,AIC 2018-10-12 00:00:00,AIC 2014-11-07 00:00:00,AIC 2015-12-05 00:00:00,AIC 2015-02-27 00:00:00,AIC 2017-04-10 00:00:00,AIC 2018-10-06 00:00:00,AIC 2017-01-06 00:00:00,AIC 2017-02-22 00:00:00,AIC 2018-02-24 00:00:00,AIC 2016-08-16 00:00:00,AIC 2018-12-02 00:00:00,AIC 2015-09-03 00:00:00,AIC 2015-01-09 00:00:00,AIC 2017-03-26 00:00:00,AIC 2014-08-28 00:00:00,AIC 2019-03-08 00:00:00,AIC 2016-09-06 00:00:00,AIC 2016-12-03 00:00:00,AIC 2017-11-26 00:00:00,AIC 2018-10-09 00:00:00,AIC 2018-10-19 00:00:00,AIC 2014-07-05 00:00:00,AIC 2018-05-26 00:00:00,AIC 2016-12-29 00:00:00,AIC 2015-12-28 00:00:00,AIC 2018-07-17 00:00:00,Median AIC
"(5, 0, 1)",66.211,3.296,-30.712,-18.649,206.567,-81.899,-59.188,68.424,-41.813,35.115,-26.394,1.479,219.31,-173.206,-12.526,-183.679,72.583,43.203,84.112,119.847,-31.583,-125.669,153.758,111.005,59.156,103.21,41.749,-167.573,-43.105,65.702,19.205
"(5, 0, 2)",66.676,-3.125,-36.5,-13.521,206.37,-81.2,-61.693,67.535,-43.259,32.919,-24.485,-2.17,216.884,-170.902,-12.095,-181.851,74.407,45.203,81.854,118.999,-31.91,-124.386,155.302,108.122,60.563,93.931,41.278,-165.837,-40.507,69.306,15.375
"(5, 0, 3)",64.068,1.585,-29.464,-14.541,200.93,-78.511,-60.403,59.778,-41.506,28.828,-23.39,4.405,217.464,-169.755,-8.858,-174.369,75.27,44.141,87.926,121.55,-31.0,-120.57,153.822,115.433,46.901,103.327,31.714,-163.447,-43.291,71.017,16.617
"(5, 0, 4)",66.93,0.761,-27.562,-18.888,194.549,-78.601,-55.936,61.607,-52.562,25.372,-21.444,-0.171,215.996,-167.008,-7.314,-177.838,77.062,41.305,76.225,122.828,-34.751,-118.021,153.12,98.795,47.582,93.301,33.387,-161.51,-38.736,72.23,13.066
"(5, 0, 5)",72.043,2.27,-32.307,-17.534,194.565,-82.607,-57.779,64.214,-51.836,23.383,-19.531,-1.238,220.73,-169.756,-14.783,-179.179,79.375,34.018,85.39,121.705,-32.606,-122.704,159.47,98.75,48.285,97.722,30.118,-159.317,-34.876,72.186,12.826
"(5, 1, 0)",75.102,6.074,-35.687,-20.136,199.945,-66.734,-56.936,71.991,-40.266,29.663,-23.994,2.658,232.331,-157.839,-8.352,-180.508,78.743,48.289,91.982,122.343,-5.171,-124.21,161.252,107.502,53.888,112.822,48.168,-165.89,-38.086,73.828,17.868
"(5, 1, 1)",74.189,-5.054,-38.931,-21.96,197.087,-79.889,-55.077,71.102,-41.378,28.6,-23.074,-3.794,221.999,-168.022,-6.377,-178.469,70.051,36.15,76.35,120.254,-25.475,-122.207,162.176,106.748,53.023,101.855,35.217,-163.867,-36.054,67.927,12.403
"(5, 1, 2)",66.963,-4.616,-37.175,-21.783,192.973,-78.313,-57.66,68.294,-45.567,20.831,-22.048,-1.831,222.489,-165.655,-9.511,-176.563,72.036,38.256,79.476,121.867,-23.467,-122.891,156.687,100.587,49.764,103.738,38.042,-162.067,-41.666,69.85,9.5
"(5, 1, 3)",65.409,-13.696,-36.102,-18.537,192.406,-78.165,-58.057,69.205,-45.531,18.89,-20.433,-1.296,219.209,-164.288,-9.833,-175.085,68.976,40.01,75.35,123.897,-22.225,-121.353,158.387,96.538,51.64,95.14,28.826,-160.858,-37.015,71.846,8.797
"(5, 1, 4)",67.472,-3.773,-35.565,-18.169,194.323,-75.37,-54.825,71.803,-44.797,20.43,-19.758,-0.916,238.979,-163.01,-5.746,-172.907,73.778,24.471,79.086,125.89,-22.082,-119.388,156.771,98.481,52.933,96.709,28.126,-161.184,-38.668,68.479,9.757
"(5, 1, 5)",68.525,-6.804,-32.633,-17.04,196.018,-75.145,-54.799,73.056,-42.784,22.602,-28.194,2.915,222.831,-161.154,-12.013,-179.745,77.745,42.988,84.493,125.666,-22.163,-121.182,151.549,100.099,51.455,99.661,30.241,-157.595,-40.403,69.37,12.759
