,data,forecast,lower,upper
36,61.75,49.73001500169556,33.009923749845726,66.4501062535454
37,61.31,49.76284551942025,32.92789801601221,66.5977930228283
38,61.91,50.01501877138164,33.08111544121911,66.94892210154417
39,61.93,50.15866121127281,33.139423711164326,67.17789871138129
40,62.76,51.90094839554413,34.80806653572992,68.99383025535833
41,63.65,52.630438935971384,35.47395943828508,69.78691843365769
42,62.82,53.23359779903747,36.0221660367132,70.44502956136174
43,61.15,54.092229172568196,36.83329254632967,71.35116579880672
44,57.57,53.73891288458794,36.438892643620136,71.03893312555574
45,55.53,52.92816391216753,35.59260083854228,70.26372698579277
46,53.7,52.73850265253431,35.37218096577491,70.10482433929371
47,52.59,51.820530858113585,34.42758387486731,69.21347784135986
48,51.56,52.143750404125115,33.59633833127073,70.6911624769795
49,51.2,51.37747984099527,31.884349485041813,70.87061019694873
50,50.85,50.7615396748075,30.484091914975473,71.03898743463952
51,50.96,50.675104398548505,29.7413842931164,71.60882450398061
52,51.56,50.571726617312635,29.085202568715534,72.05825066590974
53,53.85,49.56597821217871,27.611407872299054,71.52054855205837
54,55.68,48.683062446459104,26.330602864161413,71.03552202875679
55,61.57,45.404084441531516,22.712280514862535,68.09588836820049
56,63.58,42.24869592318291,19.266718058825433,65.23067378754038
57,63.18,43.550802718932275,20.320162482405276,66.78144295545927
58,60.4,46.94412258455623,23.500013786123226,70.38823138298923
59,57.31,48.20210019352423,24.57446400546289,71.82973638158558
60,56.87,49.32672975779087,25.541111902369888,73.11234761321185
61,56.28,49.42092772821521,25.499175983035975,73.34267947339444
62,55.94,49.57230912036082,25.533146172026132,73.6114720686955
63,55.95,49.67804247988735,25.537540094678388,73.81854486509631
64,56.95,51.471041324829834,27.24301544243116,75.69906720722851
65,59.93,52.26151879711729,27.957860591034134,76.56517700320045
66,58.29,53.067105961236315,28.698060575527656,77.43615134694497
67,56.56,54.09199867996191,29.666400873622653,78.51759648630117
68,53.87,53.734117392855666,29.259591452047367,78.20864333366396
69,53.41,52.929288190178184,28.412418035958364,77.446158344398
70,51.94,52.755378778100784,28.201853086226617,77.30890446997495
71,50.75,51.84095431504867,27.255690592732066,76.42621803736527
72,51.02,52.22681401910389,26.72542678641499,77.7282012517928
73,50.53,51.42613100552793,25.15626371305452,77.69599829800134
74,50.45,50.80280490478983,23.884377115761115,77.72123269381855
75,50.6,50.71272062379185,23.244349009582585,78.18109223800113
76,50.9,50.53236317368891,22.59592284201317,78.46880350536465
77,53.92,49.497580004138996,21.161557184682138,77.83360282359585
78,56.33,48.61861004174979,19.940634439379387,77.2965856441202
79,61.22,45.22779329437224,16.256593490595723,74.19899309814876
80,61.26,41.96501576880773,12.741956637360921,71.18807490025455
81,60.91,43.07896862087049,13.639278273386914,72.51865896835406
82,60.47,46.40277286958836,16.77653405637258,76.02901168280414
83,59.74,47.63749434025887,17.850453889120235,77.4245347913975
84,58.67,48.92225631479101,18.9964918040787,78.84802082550331
85,58.05,49.03012770769161,18.984600620827933,79.07565479455529
86,57.38,49.37023730121755,19.221254872157594,79.51921973027751
87,57.38,49.515204893092935,19.27680777153938,79.75360201464649
88,59.33,51.33344526551812,21.017734395415218,81.64915613562103
89,61.33,52.05384252013156,21.671255832956806,82.43642920730632
90,59.49,52.83266261892613,22.392210024881113,83.27311521297115
91,56.79,54.05224963347428,23.56171316436198,84.54278610258659
92,55.8,53.8219499897349,23.28805467839216,84.35584530107764
93,54.28,52.998736763539405,22.427296845402545,83.57017668167626
94,52.73,52.84528562304281,22.24132985020413,83.4492413958815
95,51.56,51.940528973369496,21.30840819285316,82.57264975388583
96,51.48,52.29394649356475,20.812714098208726,83.77517888892078
97,50.62,51.48793800584817,19.288600389098526,83.68727562259781
98,50.15,50.85708870455175,18.04783576193885,83.66634164716464
99,50.24,50.7667406833587,17.437692223644206,84.09578914307319
100,50.87,50.594240949666165,16.82097735413673,84.3675045451956
101,52.67,49.47379046762873,15.320045309792533,83.62753562546493
102,54.22,48.46608662677289,13.98584226071128,82.9463309928345
103,55.63,44.81202311069589,10.051169032944728,79.57287718844705
104,57.73,41.31252711611176,6.31019058376949,76.31486364845404
105,56.75,42.54782455070169,7.337450603897885,77.7581984975055
