"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Sweden (SE)","03.01.2020 19:00 - 03.01.2020 20:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6570","n/e","7757","1364","n/e","n/e","n/e","n/e","6705"
"Sweden (SE)","03.01.2020 20:00 - 03.01.2020 21:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5986","n/e","7765","1321","n/e","n/e","n/e","n/e","6893"
"Sweden (SE)","03.01.2020 21:00 - 03.01.2020 22:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5443","n/e","7766","1304","n/e","n/e","n/e","n/e","7028"
"Sweden (SE)","03.01.2020 22:00 - 03.01.2020 23:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4805","n/e","7766","1293","n/e","n/e","n/e","n/e","7167"
"Sweden (SE)","03.01.2020 23:00 - 04.01.2020 00:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4350","n/e","7767","1276","n/e","n/e","n/e","n/e","7309"
"Sweden (SE)","04.01.2020 00:00 - 04.01.2020 01:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3925","n/e","7766","1283","n/e","n/e","n/e","n/e","7362"
"Sweden (SE)","04.01.2020 01:00 - 04.01.2020 02:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3605","n/e","7772","1253","n/e","n/e","n/e","n/e","7347"
"Sweden (SE)","04.01.2020 02:00 - 04.01.2020 03:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3478","n/e","7775","1225","n/e","n/e","n/e","n/e","7231"
"Sweden (SE)","04.01.2020 03:00 - 04.01.2020 04:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3372","n/e","7780","1209","n/e","n/e","n/e","n/e","7026"
"Sweden (SE)","04.01.2020 04:00 - 04.01.2020 05:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3220","n/e","7787","1201","n/e","n/e","n/e","n/e","7001"
"Sweden (SE)","04.01.2020 05:00 - 04.01.2020 06:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3435","n/e","7786","1207","n/e","n/e","n/e","n/e","6962"
"Sweden (SE)","04.01.2020 06:00 - 04.01.2020 07:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3526","n/e","7786","1210","n/e","n/e","n/e","n/e","7113"
"Sweden (SE)","04.01.2020 07:00 - 04.01.2020 08:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3900","n/e","7787","1220","n/e","n/e","n/e","n/e","7159"
"Sweden (SE)","04.01.2020 08:00 - 04.01.2020 09:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4397","n/e","7787","1213","n/e","n/e","n/e","n/e","7222"
"Sweden (SE)","04.01.2020 09:00 - 04.01.2020 10:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4863","n/e","7787","1215","n/e","n/e","n/e","n/e","7183"
"Sweden (SE)","04.01.2020 10:00 - 04.01.2020 11:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5157","n/e","7789","1227","n/e","n/e","n/e","n/e","7124"
"Sweden (SE)","04.01.2020 11:00 - 04.01.2020 12:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5230","n/e","7789","1230","n/e","n/e","n/e","n/e","7179"
"Sweden (SE)","04.01.2020 12:00 - 04.01.2020 13:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5181","n/e","7788","1232","n/e","n/e","n/e","n/e","7181"
"Sweden (SE)","04.01.2020 13:00 - 04.01.2020 14:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5214","n/e","7787","1220","n/e","n/e","n/e","n/e","7115"
"Sweden (SE)","04.01.2020 14:00 - 04.01.2020 15:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5373","n/e","7789","1202","n/e","n/e","n/e","n/e","7111"
"Sweden (SE)","04.01.2020 15:00 - 04.01.2020 16:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5507","n/e","7788","1216","n/e","n/e","n/e","n/e","7102"
"Sweden (SE)","04.01.2020 16:00 - 04.01.2020 17:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6304","n/e","7778","1249","n/e","n/e","n/e","n/e","7048"
"Sweden (SE)","04.01.2020 17:00 - 04.01.2020 18:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7306","n/e","7752","1257","n/e","n/e","n/e","n/e","6914"
"Sweden (SE)","04.01.2020 18:00 - 04.01.2020 19:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7583","n/e","7748","1229","n/e","n/e","n/e","n/e","6748"
"Sweden (SE)","04.01.2020 19:00 - 04.01.2020 20:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7459","n/e","7767","1226","n/e","n/e","n/e","n/e","6546"
"Sweden (SE)","04.01.2020 20:00 - 04.01.2020 21:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6676","n/e","7777","1199","n/e","n/e","n/e","n/e","6290"
"Sweden (SE)","04.01.2020 21:00 - 04.01.2020 22:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6486","n/e","7782","1178","n/e","n/e","n/e","n/e","5897"
"Sweden (SE)","04.01.2020 22:00 - 04.01.2020 23:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5909","n/e","7780","1160","n/e","n/e","n/e","n/e","5550"
"Sweden (SE)","04.01.2020 23:00 - 05.01.2020 00:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5333","n/e","7778","1154","n/e","n/e","n/e","n/e","5283"
"Sweden (SE)","05.01.2020 00:00 - 05.01.2020 01:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4926","n/e","7775","1165","n/e","n/e","n/e","n/e","5017"
"Sweden (SE)","05.01.2020 01:00 - 05.01.2020 02:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4819","n/e","7775","1154","n/e","n/e","n/e","n/e","4645"
"Sweden (SE)","05.01.2020 02:00 - 05.01.2020 03:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4805","n/e","7776","1152","n/e","n/e","n/e","n/e","4227"
"Sweden (SE)","05.01.2020 03:00 - 05.01.2020 04:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4951","n/e","7780","1152","n/e","n/e","n/e","n/e","3867"
"Sweden (SE)","05.01.2020 04:00 - 05.01.2020 05:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5222","n/e","7781","1150","n/e","n/e","n/e","n/e","3542"
"Sweden (SE)","05.01.2020 05:00 - 05.01.2020 06:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5644","n/e","7782","1164","n/e","n/e","n/e","n/e","3157"
"Sweden (SE)","05.01.2020 06:00 - 05.01.2020 07:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6364","n/e","7783","1179","n/e","n/e","n/e","n/e","2833"
"Sweden (SE)","05.01.2020 07:00 - 05.01.2020 08:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8099","n/e","7782","1188","n/e","n/e","n/e","n/e","2554"
