Month,Weekday,Hour,Factor
3,2,16,0.995658
3,2,17,1.03486
3,2,18,1.07904
3,2,19,1.07288
3,2,20,1.01662
3,2,21,0.99623
3,2,22,0.969082
3,2,23,0.921956
3,3,0,0.92382
3,3,1,0.911005
3,3,2,0.900896
3,3,3,0.899675
3,3,4,0.923817
3,3,5,0.963413
3,3,6,1.00637
3,3,7,1.08134
3,3,8,1.12775
3,3,9,1.07535
3,3,10,1.04567
3,3,11,1.03173
3,3,12,1.00873
3,3,13,0.999953
3,3,14,0.991619
3,3,15,0.994705
3,3,16,1.0013
3,3,17,1.03846
3,3,18,1.06956
3,3,19,1.0512
3,3,20,1.01355
3,3,21,0.996585
3,3,22,0.970922
3,3,23,0.942782
3,4,0,0.929047
3,4,1,0.913523
3,4,2,0.910302
3,4,3,0.913282
3,4,4,0.923283
3,4,5,0.963517
3,4,6,1.0091
3,4,7,1.08088
3,4,8,1.14591
3,4,9,1.08742
3,4,10,1.05267
3,4,11,1.03362
3,4,12,1.0112
3,4,13,0.999675
3,4,14,0.992325
3,4,15,0.987131
3,4,16,0.997044
3,4,17,1.02091
3,4,18,1.05324
3,4,19,1.03125
3,4,20,0.998441
3,4,21,0.987928
3,4,22,0.960648
3,4,23,0.930217
3,5,0,0.926503
3,5,1,0.913293
3,5,2,0.908056
3,5,3,0.90785
3,5,4,0.932937
3,5,5,0.973538
3,5,6,1.01339
3,5,7,1.09651
3,5,8,1.10315
3,5,9,1.0876
3,5,10,1.05631
3,5,11,1.03404
3,5,12,1.00294
3,5,13,0.993692
3,5,14,0.984759
3,5,15,0.98353
3,5,16,0.986464
3,5,17,1.0238
3,5,18,1.05715
3,5,19,1.02753
3,5,20,1.00173
3,5,21,0.982524
3,5,22,0.973279
3,5,23,0.949943
3,6,0,1.00327
3,6,1,0.98385
3,6,2,0.976237
3,6,3,0.966703
3,6,4,0.973248
3,6,5,0.981648
3,6,6,0.988923
3,6,7,1.00121
3,6,8,1.01643
3,6,9,1.03071
