Period,mape,smape,mae,rmse
142.000,8.773,8.103,2.667,3.605
143.000,9.888,9.139,3.017,3.884
144.000,13.218,11.832,3.815,4.922
145.000,15.366,13.597,4.377,5.519
146.000,31.622,21.483,6.058,8.154
147.000,35.871,24.421,6.497,8.451
148.000,40.142,27.540,7.450,9.247
149.000,43.171,29.714,8.201,9.794
150.000,43.941,30.561,8.461,9.801
151.000,31.716,22.241,5.600,7.368
152.000,32.945,23.101,5.893,7.593
153.000,34.864,24.613,6.358,7.866
154.000,30.835,21.668,5.366,7.105
155.000,31.886,22.536,5.646,7.247
156.000,27.214,19.036,4.502,6.437
157.000,23.676,16.378,3.677,5.859
158.000,17.956,12.548,2.594,4.722
159.000,18.089,12.442,2.564,4.832
160.000,17.246,18.984,4.931,5.149
161.000,14.975,16.331,4.370,4.614
162.000,15.157,16.477,4.459,4.586
163.000,8.582,9.053,2.549,2.802
164.000,8.819,9.292,2.634,2.837
165.000,8.411,8.821,2.506,2.654
166.000,6.941,7.205,2.069,2.201
167.000,5.747,5.916,1.715,1.858
168.000,4.860,4.844,1.359,1.637
169.000,4.443,4.401,1.222,1.566
170.000,4.620,4.577,1.258,1.608
171.000,4.847,4.762,1.298,1.681
172.000,5.764,5.792,1.577,1.984
173.000,6.343,6.401,1.749,2.085
174.000,6.948,7.029,1.915,2.232
175.000,9.596,10.083,2.734,3.027
176.000,7.462,7.718,2.084,2.492
177.000,7.502,7.720,2.103,2.505
178.000,7.780,7.951,2.195,2.544
179.000,9.044,9.394,2.645,3.000
180.000,9.171,9.455,2.719,3.018
181.000,10.865,11.420,3.337,3.619
182.000,15.460,16.830,4.916,5.106
183.000,12.845,13.804,4.208,4.442
184.000,11.180,11.913,3.749,3.989
185.000,9.564,10.111,3.285,3.538
186.000,7.712,8.063,2.714,2.948
187.000,9.014,9.475,3.184,3.334
188.000,7.736,8.076,2.774,2.913
189.000,5.524,5.706,2.022,2.198
190.000,6.325,6.555,2.323,2.447
191.000,5.046,5.201,1.869,2.024
192.000,4.758,4.893,1.771,1.894
