Period,mape,smape,mae,rmse
70.000,7.487,7.840,3.102,3.445
71.000,5.523,5.748,2.267,2.755
72.000,5.138,5.318,2.107,2.505
73.000,5.864,6.092,2.392,2.764
74.000,5.926,6.153,2.416,2.757
75.000,4.076,4.197,1.663,2.086
76.000,2.702,2.748,1.100,1.480
77.000,3.057,3.124,1.240,1.638
78.000,2.216,2.239,0.893,1.252
79.000,2.683,2.624,1.023,1.317
80.000,2.004,1.969,0.757,1.029
81.000,1.802,1.790,0.683,0.872
82.000,1.921,1.895,0.726,0.946
83.000,1.807,1.791,0.685,0.887
84.000,1.974,1.940,0.755,1.001
85.000,1.867,1.839,0.717,0.941
86.000,1.950,1.920,0.752,0.955
87.000,2.118,2.081,0.818,1.045
88.000,1.791,1.787,0.721,1.023
89.000,2.167,2.201,0.907,1.273
90.000,2.052,2.074,0.878,1.255
91.000,2.398,2.416,1.024,1.326
92.000,2.568,2.598,1.112,1.418
93.000,3.118,3.194,1.381,1.738
94.000,2.631,2.685,1.171,1.538
95.000,3.160,3.238,1.405,1.767
96.000,3.255,3.304,1.444,1.799
97.000,3.540,3.571,1.562,1.880
98.000,3.970,3.951,1.724,2.076
99.000,5.336,5.240,2.265,2.791
100.000,6.235,6.054,2.595,3.155
101.000,7.283,7.005,2.972,3.527
102.000,7.857,7.390,3.135,3.962
103.000,8.639,8.072,3.435,4.329
104.000,11.049,10.134,4.241,5.280
105.000,15.028,13.259,5.412,6.837
106.000,16.638,14.702,6.054,7.250
107.000,18.286,16.178,6.709,7.657
108.000,20.890,18.109,7.317,8.429
109.000,21.632,18.753,7.423,8.446
110.000,18.510,16.102,6.246,7.596
111.000,18.161,15.932,6.139,7.376
112.000,17.116,15.275,5.795,6.922
113.000,14.868,13.736,5.090,6.323
114.000,15.932,15.055,5.604,6.624
115.000,16.728,16.151,6.014,6.750
116.000,17.604,16.901,6.343,7.001
117.000,18.646,17.959,6.773,7.220
118.000,18.202,19.101,7.009,7.607
119.000,20.314,22.695,8.161,8.934
120.000,19.408,21.118,7.710,8.239
121.000,20.837,22.874,8.352,8.682
122.000,25.337,29.363,10.478,10.955
123.000,25.236,29.021,10.456,10.667
124.000,18.148,20.050,7.544,7.755
125.000,12.341,13.228,5.133,5.395
126.000,8.269,8.687,3.434,3.729
127.000,5.710,5.901,2.349,2.576
128.000,3.165,3.205,1.268,1.548
129.000,3.008,3.017,1.185,1.432
130.000,2.830,2.777,1.076,1.409
131.000,2.927,2.850,1.106,1.515
132.000,3.767,3.645,1.422,1.844
133.000,3.100,3.106,1.169,1.330
134.000,2.804,2.737,1.017,1.342
135.000,2.984,2.946,1.079,1.371
136.000,3.219,3.183,1.165,1.421
137.000,5.374,5.065,1.719,2.546
138.000,5.985,5.609,1.897,2.723
139.000,5.717,5.405,1.819,2.607
140.000,6.936,6.475,2.146,2.956
141.000,7.116,6.668,2.206,2.937
142.000,6.922,6.568,2.139,2.823
143.000,7.706,7.332,2.387,2.995
144.000,10.734,9.830,3.115,4.072
145.000,12.771,11.484,3.635,4.690
146.000,28.984,19.451,5.335,7.529
147.000,32.056,21.654,5.541,7.718
148.000,35.718,24.345,6.335,8.370
