Date,Hour,MAE d,MAE s
2014-07-13,4,28.38,35.18
2014-07-13,5,28.0,36.91
2014-07-13,6,28.15,36.21
2014-07-13,7,24.37,33.13
2014-07-13,8,24.14,30.39
2014-07-13,9,23.96,36.63
2014-07-13,10,26.37,37.49
2014-07-13,11,27.9,37.66
2014-07-13,12,26.66,38.63
2014-07-13,13,26.41,38.57
2014-07-13,14,25.52,38.5
2014-07-13,15,24.92,35.97
2014-07-13,16,24.08,34.52
2014-07-13,17,21.64,31.87
2014-07-13,18,23.1,28.95
2014-07-13,19,26.91,29.47
2014-07-13,20,26.72,29.5
2014-07-13,21,26.55,29.88
2014-07-13,22,26.2,28.94
2014-07-13,23,24.34,55.76
2014-07-14,0,24.08,33.05
2014-07-14,1,23.36,33.22
2014-07-14,2,23.67,34.37
2014-07-14,3,23.96,36.05
2014-07-14,4,23.47,32.26
2014-07-14,5,22.37,31.82
2014-07-14,6,25.69,27.17
2014-07-14,7,21.22,30.39
2014-07-14,8,26.09,30.58
2014-07-14,9,27.71,36.83
2014-07-14,10,30.24,36.97
2014-07-14,11,32.32,36.41
2014-07-14,12,32.37,36.45
2014-07-14,13,32.42,38.16
2014-07-14,14,31.21,38.1
2014-07-14,15,27.61,35.62
2014-07-14,16,28.29,34.78
2014-07-14,17,25.24,33.19
2014-07-14,18,25.45,32.16
2014-07-14,19,29.46,31.81
2014-07-14,20,28.02,31.81
2014-07-14,21,27.5,32.37
2014-07-14,22,28.18,33.19
2014-07-14,23,27.49,54.93
2014-07-15,0,23.88,29.26
2014-07-15,1,23.42,30.33
2014-07-15,2,23.03,31.24
2014-07-15,3,23.03,31.93
2014-07-15,4,22.01,32.09
2014-07-15,5,22.75,29.39
2014-07-15,6,28.54,31.21
2014-07-15,7,24.92,27.72
2014-07-15,8,23.28,31.7
2014-07-15,9,24.7,38.43
2014-07-15,10,25.01,39.84
2014-07-15,11,28.59,39.99
2014-07-15,12,29.46,38.9
2014-07-15,13,29.12,40.03
2014-07-15,14,27.74,36.01
2014-07-15,15,27.47,31.33
2014-07-15,16,27.45,32.44
2014-07-15,17,24.31,35.4
2014-07-15,18,24.45,30.77
2014-07-15,19,29.4,31.33
2014-07-15,20,30.41,31.41
2014-07-15,21,31.03,28.88
2014-07-15,22,30.85,30.25
2014-07-15,23,29.21,27.25
2014-07-16,0,32.73,33.38
2014-07-16,1,32.21,34.51
2014-07-16,2,31.72,36.72
2014-07-16,3,31.23,37.15
2014-07-16,4,30.62,37.03
2014-07-16,5,31.79,32.0
2014-07-16,6,33.39,35.8
2014-07-16,7,32.14,31.05
2014-07-16,8,38.69,34.48
2014-07-16,9,34.86,40.19
2014-07-16,10,36.38,41.11
2014-07-16,11,39.43,40.33
2014-07-16,12,37.87,40.14
2014-07-16,13,36.05,41.12
2014-07-16,14,35.57,41.38
2014-07-16,15,35.01,37.72
2014-07-16,16,34.84,37.34
2014-07-16,17,32.83,36.66
2014-07-16,18,34.61,34.63
2014-07-16,19,45.71,35.19
2014-07-16,20,37.66,37.17
2014-07-16,21,38.44,33.47
2014-07-16,22,38.0,33.97
2014-07-16,23,36.9,48.82
2014-07-17,0,41.51,33.92
2014-07-17,1,40.59,34.8
2014-07-17,2,40.05,35.71
2014-07-17,3,39.44,35.93
2014-07-17,4,38.25,35.5
2014-07-17,5,39.2,33.84
2014-07-17,6,42.62,35.45
2014-07-17,7,39.36,41.09
2014-07-17,8,42.2,36.12
2014-07-17,9,39.35,39.75
2014-07-17,10,44.97,39.89
2014-07-17,11,48.37,39.86
2014-07-17,12,46.18,40.5
2014-07-17,13,42.52,41.06
2014-07-17,14,44.63,40.8
2014-07-17,15,44.73,42.86
2014-07-17,16,41.55,36.94
2014-07-17,17,36.15,35.38
2014-07-17,18,37.53,33.78
2014-07-17,19,45.1,34.01
2014-07-17,20,41.04,31.39
2014-07-17,21,42.03,33.32
2014-07-17,22,41.94,32.53
2014-07-17,23,41.93,46.12
2014-07-18,0,39.57,33.73
2014-07-18,1,39.68,35.56
2014-07-18,2,39.11,35.66
2014-07-18,3,38.9,37.05
2014-07-18,4,37.41,37.17
2014-07-18,5,38.08,33.31
2014-07-18,6,41.15,32.85
2014-07-18,7,38.89,34.28
2014-07-18,8,40.21,32.78
2014-07-18,9,37.32,39.48
2014-07-18,10,44.16,39.85
2014-07-18,11,42.46,39.73
2014-07-18,12,40.86,39.12
2014-07-18,13,38.67,39.1
2014-07-18,14,41.05,38.43
2014-07-18,15,37.87,34.32
2014-07-18,16,37.81,35.14
2014-07-18,17,33.37,33.46
2014-07-18,18,34.15,32.34
2014-07-18,19,38.13,30.1
2014-07-18,20,42.92,31.62
2014-07-18,21,41.71,32.08
2014-07-18,22,41.95,47.14
2014-07-18,23,40.75,48.33
2014-07-19,0,36.61,29.39
2014-07-19,1,34.63,27.41
2014-07-19,2,32.83,26.67
2014-07-19,3,31.26,28.37
2014-07-19,4,30.43,28.23
2014-07-19,5,31.07,28.01
2014-07-19,6,31.9,27.72
2014-07-19,7,30.31,33.96
2014-07-19,8,35.83,31.12
2014-07-19,9,36.0,36.9
2014-07-19,10,38.14,36.55
