Period,mape,smape,mae,rmse
313.000,19.452,17.654,8.155,8.332
314.000,15.636,14.381,6.477,6.814
315.000,15.883,14.640,6.535,6.724
316.000,12.762,11.915,5.238,5.501
317.000,9.770,9.211,4.010,4.446
318.000,10.421,9.807,4.287,4.686
319.000,11.942,11.176,4.909,5.258
320.000,9.472,8.904,3.891,4.515
321.000,10.510,9.872,4.310,4.775
322.000,10.614,9.990,4.346,4.713
323.000,9.139,8.652,3.740,4.158
324.000,7.283,6.959,2.989,3.421
325.000,8.535,8.114,3.492,3.861
326.000,6.135,5.879,2.501,3.003
327.000,4.502,4.337,1.842,2.441
328.000,4.122,3.988,1.684,2.271
329.000,4.281,4.135,1.745,2.342
330.000,4.880,4.708,1.958,2.488
331.000,5.769,5.529,2.305,2.881
332.000,3.491,3.427,1.354,1.718
333.000,3.512,3.555,1.332,1.503
334.000,4.064,4.142,1.546,1.695
335.000,3.741,3.798,1.404,1.561
336.000,3.270,3.290,1.214,1.375
337.000,3.912,3.966,1.461,1.586
338.000,3.019,3.029,1.115,1.340
339.000,3.016,3.014,1.116,1.339
340.000,3.248,3.220,1.205,1.448
341.000,3.673,3.637,1.359,1.560
342.000,3.675,3.574,1.359,1.754
343.000,3.519,3.446,1.307,1.616
344.000,3.740,3.776,1.403,1.592
345.000,3.885,3.780,1.434,1.797
346.000,4.045,4.059,1.484,1.640
347.000,4.069,3.981,1.491,1.732
348.000,3.881,3.827,1.418,1.636
349.000,3.999,3.895,1.468,1.795
350.000,4.165,4.057,1.522,1.814
351.000,5.973,5.722,2.113,2.524
352.000,5.578,5.344,1.912,2.380
