Month,Hour,Weekend,s -10,s -4,s -1,s 0,s 1,s 3,s 5,s 8,s 12,s 15,s 19,s 22,s 24,s 26,s 28,s 30,s 32,s 35,s 39,s 42,s 46,s 51,s 56,s 66,s 75,s 105,s 165,s 210
3,12,0,1.00205,1.0026,1.0031,1.00368,1.00644,1.0072,1.00731,1.00732,1.00744,1.00714,1.00668,1.00681,1.00577,1.00499,1.00465,1.00439,1.00543,1.00564,1.00487,1.00484,1.00441,1.00423,1.00402,1.00376,1.00377,1.00386,1.00385,1.0039
3,13,0,0.999836,1.00042,1.00101,1.00165,1.00451,1.00538,1.00555,1.00556,1.0057,1.00545,1.00506,1.00525,1.00431,1.00355,1.00331,1.00306,1.00416,1.00445,1.00378,1.00379,1.00342,1.00323,1.00304,1.00278,1.00281,1.0029,1.00288,1.00294
3,14,0,0.997135,0.997784,0.998426,0.999129,1.00219,1.00319,1.00343,1.00345,1.00361,1.00339,1.00312,1.00359,1.00286,1.00229,1.00213,1.00189,1.00298,1.00341,1.00287,1.00297,1.00274,1.00259,1.00242,1.00223,1.00223,1.00233,1.00233,1.00239
3,15,0,0.997338,0.998003,0.998601,0.999289,1.0023,1.00326,1.00336,1.00339,1.00357,1.00337,1.00325,1.00364,1.00292,1.00251,1.00239,1.00216,1.00333,1.00382,1.00343,1.00357,1.00348,1.00337,1.00321,1.00306,1.00308,1.00317,1.00315,1.00321
3,16,0,0.998041,0.998697,0.999218,0.999851,1.00267,1.00343,1.00353,1.00357,1.00371,1.00356,1.00341,1.00371,1.00299,1.0026,1.0024,1.0022,1.00343,1.00385,1.00348,1.0038,1.00377,1.00371,1.00357,1.00339,1.00342,1.00351,1.00349,1.00356
3,17,0,1.00489,1.00526,1.0056,1.00608,1.00816,1.00787,1.00779,1.00754,1.00734,1.00707,1.00668,1.00646,1.00537,1.00489,1.00439,1.00392,1.00492,1.00477,1.00392,1.00416,1.00412,1.00419,1.00407,1.00391,1.00396,1.00407,1.00407,1.00414
3,18,0,1.00602,1.00628,1.00657,1.00698,1.00904,1.00865,1.00865,1.00842,1.00826,1.00803,1.0077,1.00754,1.00625,1.00578,1.00529,1.00484,1.00587,1.00577,1.00469,1.00491,1.00487,1.00481,1.00468,1.00458,1.00463,1.00478,1.00477,1.00483
3,19,0,1.00945,1.00965,1.00985,1.01016,1.01177,1.01137,1.01123,1.01104,1.01094,1.01062,1.01056,1.01039,1.00909,1.00852,1.00811,1.00765,1.00875,1.00871,1.00736,1.00747,1.00737,1.00735,1.00718,1.00705,1.0071,1.00725,1.00723,1.00729
3,20,0,1.00875,1.00889,1.00905,1.00923,1.01049,1.01015,1.01004,1.00995,1.00997,1.00975,1.00986,1.00971,1.00852,1.00793,1.00761,1.00729,1.00841,1.00856,1.00766,1.00782,1.00782,1.00785,1.00768,1.0075,1.00753,1.00769,1.00766,1.00772
3,21,0,1.00517,1.00509,1.00513,1.00533,1.00623,1.00605,1.00579,1.00573,1.00595,1.00585,1.006,1.00613,1.00497,1.00447,1.0041,1.00398,1.00536,1.0058,1.00525,1.00568,1.00587,1.00608,1.006,1.00592,1.00602,1.00609,1.00606,1.00611
3,22,0,1.00405,1.00395,1.00396,1.00412,1.00485,1.00465,1.00436,1.00436,1.00457,1.00457,1.00509,1.0052,1.00468,1.00339,1.00354,1.00372,1.00502,1.00567,1.00516,1.00521,1.00538,1.00564,1.00558,1.00539,1.00543,1.00554,1.00554,1.00558
3,23,0,1.00196,1.00183,1.00189,1.00208,1.00299,1.00327,1.00331,1.0034,1.00368,1.00378,1.00439,1.00454,1.00389,1.00268,1.00274,1.00302,1.00427,1.00479,1.00415,1.00394,1.00444,1.00491,1.0048,1.00452,1.00452,1.0046,1.00461,1.00465
4,0,0,1.01483,1.01468,1.01454,1.01418,1.01505,1.01435,1.01371,1.01341,1.0129,1.01273,1.01289,1.01345,1.01161,1.01133,1.01156,1.01094,1.0105,1.01051,1.00967,1.00969,1.00902,1.00871,1.00845,1.00829,1.00823,1.0084,1.00873,1.00885
4,1,0,1.01095,1.01096,1.01089,1.01064,1.01181,1.01164,1.01114,1.01087,1.0104,1.01033,1.01075,1.01154,1.00968,1.00937,1.00973,1.00909,1.00869,1.00874,1.00827,1.00834,1.0078,1.00762,1.00742,1.00733,1.00728,1.00749,1.00782,1.00795
4,2,0,1.01035,1.01042,1.01036,1.01016,1.01136,1.01123,1.01069,1.01042,1.01012,1.00996,1.01045,1.0112,1.0094,1.00905,1.00938,1.00885,1.00845,1.0084,1.00791,1.008,1.00743,1.00729,1.0071,1.00701,1.00696,1.00719,1.00752,1.00765
4,3,0,1.00986,1.01001,1.00988,1.00972,1.01096,1.01091,1.0104,1.01018,1.00986,1.00963,1.01012,1.01084,1.0091,1.00876,1.00914,1.00867,1.00831,1.00828,1.00781,1.00787,1.00732,1.00715,1.00697,1.00685,1.00679,1.00699,1.00731,1.00744
4,4,0,1.01178,1.012,1.01189,1.01167,1.01285,1.01266,1.01232,1.0121,1.01141,1.01124,1.01186,1.01269,1.01099,1.01059,1.01094,1.01039,1.01012,1.00994,1.00906,1.00872,1.00795,1.00763,1.00738,1.00712,1.00698,1.00712,1.00742,1.00752
4,5,0,1.00752,1.00807,1.0082,1.0081,1.01061,1.01208,1.01219,1.01205,1.01137,1.01109,1.0115,1.0123,1.01066,1.01007,1.01031,1.00949,1.00891,1.00868,1.00794,1.00783,1.00713,1.00653,1.00603,1.00552,1.00543,1.00548,1.00572,1.00582
4,6,0,1.00811,1.00874,1.00883,1.00896,1.01262,1.0146,1.01505,1.01482,1.01418,1.0139,1.01397,1.01529,1.01396,1.01274,1.01264,1.01154,1.01086,1.01069,1.01069,1.01121,1.01037,1.0097,1.00888,1.00813,1.00777,1.00737,1.00759,1.0077
4,7,0,1.01451,1.01537,1.0157,1.0159,1.01957,1.02048,1.02065,1.02034,1.0198,1.01951,1.01922,1.0201,1.01913,1.01783,1.01719,1.01605,1.01518,1.01458,1.01432,1.01436,1.0127,1.0119,1.01103,1.01017,1.00986,1.00933,1.0094,1.00947
4,8,0,1.01445,1.01518,1.01542,1.01545,1.01831,1.01876,1.0183,1.01805,1.01769,1.01751,1.01671,1.01714,1.01678,1.01626,1.01598,1.0149,1.01409,1.01368,1.0133,1.01353,1.01171,1.01104,1.01031,1.00957,1.0093,1.00897,1.00907,1.00917
4,9,0,1.01175,1.01245,1.01267,1.01279,1.0157,1.01639,1.01579,1.01554,1.01514,1.01492,1.01407,1.01434,1.01409,1.01365,1.01373,1.01282,1.01211,1.01188,1.01189,1.0125,1.01088,1.01031,1.00948,1.00877,1.00846,1.00816,1.00827,1.00839
4,10,0,1.00998,1.01055,1.01067,1.01081,1.01391,1.01457,1.01392,1.01364,1.01324,1.01307,1.01218,1.01242,1.01225,1.01193,1.01207,1.01127,1.0106,1.01048,1.01051,1.01101,1.00944,1.00889,1.00807,1.00742,1.00715,1.00694,1.00709,1.00718
4,11,0,1.00972,1.01018,1.0103,1.01045,1.01345,1.01405,1.01338,1.01311,1.01274,1.01256,1.01164,1.01179,1.01156,1.01133,1.01154,1.01079,1.01011,1.00998,1.00999,1.01061,1.00911,1.00858,1.00778,1.00717,1.00689,1.00674,1.00687,1.00696
4,12,0,1.00855,1.00907,1.00912,1.00918,1.01204,1.01243,1.01165,1.01138,1.01093,1.01069,1.0098,1.00991,1.00984,1.0097,1.00983,1.00902,1.00831,1.00817,1.0084,1.00891,1.00743,1.00685,1.00613,1.00563,1.00549,1.00546,1.00561,1.00571
4,13,0,1.00726,1.00783,1.00787,1.00794,1.01079,1.01144,1.01083,1.01059,1.01013,1.00984,1.00894,1.00904,1.00891,1.00877,1.00887,1.0081,1.00747,1.00731,1.0075,1.00786,1.00644,1.00589,1.00529,1.00491,1.00478,1.00478,1.00491,1.00502
4,14,0,1.00982,1.01027,1.01023,1.01021,1.01275,1.01324,1.01258,1.01233,1.01184,1.01158,1.01099,1.01134,1.01113,1.01088,1.01097,1.01009,1.00943,1.0093,1.00927,1.00959,1.0081,1.00749,1.00691,1.00659,1.00648,1.00652,1.00665,1.00675
4,15,0,1.0096,1.01006,1.01001,1.00997,1.01246,1.01283,1.01221,1.01194,1.01147,1.01123,1.01057,1.0108,1.01059,1.01054,1.01067,1.00992,1.00932,1.00935,1.00955,1.01003,1.00877,1.00827,1.00772,1.00741,1.0073,1.00731,1.00744,1.00755
4,16,0,1.00425,1.00484,1.00491,1.00498,1.00788,1.00855,1.0081,1.00786,1.00752,1.00733,1.00668,1.00699,1.00687,1.00711,1.0074,1.00682,1.00628,1.00641,1.00671,1.00745,1.00642,1.00598,1.00544,1.0052,1.00511,1.00511,1.00521,1.00536
4,17,0,1.0046,1.00517,1.00532,1.00542,1.00834,1.00906,1.00852,1.00822,1.00779,1.00752,1.0069,1.00727,1.00717,1.00729,1.00742,1.00671,1.00623,1.0063,1.00667,1.00737,1.00641,1.00608,1.0056,1.00534,1.00527,1.00527,1.00536,1.00551
4,18,0,1.00674,1.00726,1.00733,1.00734,1.00997,1.01045,1.00974,1.00933,1.00884,1.00861,1.00793,1.00814,1.00795,1.00789,1.00806,1.00741,1.00698,1.00702,1.00753,1.00836,1.00741,1.0071,1.00655,1.00623,1.00619,1.00623,1.00632,1.00646
4,19,0,1.00867,1.00911,1.0091,1.00904,1.01157,1.01197,1.01132,1.01083,1.01012,1.00972,1.00901,1.0091,1.00827,1.00804,1.00822,1.00759,1.0071,1.00698,1.00745,1.00838,1.00742,1.00719,1.00673,1.00645,1.00642,1.00642,1.00653,1.00667
4,20,0,1.01474,1.01487,1.01475,1.01453,1.01638,1.01594,1.0151,1.0145,1.01366,1.01317,1.01261,1.01266,1.01202,1.01156,1.01163,1.0109,1.01028,1.01004,1.01021,1.01091,1.00961,1.00934,1.00894,1.00858,1.00855,1.00853,1.00864,1.00874
