Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14
3379.45,1990.01,2891.2,5861.13,5381.96,3091.62,685.055,5106.22,644.655,45.8454,857.255,-4905.36,5631.32,-3402.57
3495.11,1800.76,3515.92,4227.88,5022.4,3509.62,1029.6,4938.92,-603.677,189.607,575.245,-4645.3,4856.05,-2799.62
3165.69,2492.5,4720.91,3600.36,3649.24,3578.08,1299.91,4785.7,-1459.03,441.551,-128.118,-4207.4,4400.37,-3051.83
2567.8,3405.43,5729.68,4221.51,3258.57,3701.54,2729.08,4496.43,-1643.8,480.547,-849.901,-3025.66,4607.97,-2486.68
2413.72,3754.63,4967.57,4107.23,2489.72,3233.99,3127.55,3916.42,-910.273,931.324,-1667.17,-3265.71,5094.15,-4262.34
3058.87,3713.07,5211.77,3768.93,153.195,3036.58,3199.46,3678.61,-1753.55,320.942,-1827.37,-3823.85,4600.46,-5641.55
3346.68,2782.97,5241.97,3467.45,-216.982,2686.5,4383.49,3540.12,-1490.02,332.231,-1791.29,-3753.76,4840.27,-5856.71
3139.75,591.236,5061.2,3427.82,-301.368,2725.97,4116.74,3458.9,-1400.82,755.697,-1770.63,-3590.45,4808.45,-5483.69
2780.61,-513.961,4399.01,3280.5,-538.571,2929.97,3395.01,2948.66,-1166.15,1527.96,-1390.78,-4863.09,5003.01,-4808.38
2590.08,-240.404,3504.62,2029.17,-197.357,3001.6,3004.34,2580.26,-776.667,1843.45,-1295.3,-4163.15,5224.01,-4303.5
89.2576,311.153,2381.79,1546.49,219.105,2586.1,3466.76,1875.6,-304.914,2446.33,-614.984,-3400.88,5384.65,-3805.12
3021.05,-107.343,2424.51,836.153,2639.65,154.301,1530.02,927.852,-1149.45,1698.83,-3035.33,3006.99,-1160.98,-1907.11
1798.73,181.443,2433.33,864.64,2714.19,310.093,1852.7,252.614,-697.95,1841.38,-2765.3,3207.54,-913.124,-1650.08
1750.86,348.436,2448.15,898.464,2677.93,504.221,2100.03,676.539,-272.642,1936.78,-2695.44,3361.3,-593.066,-1492.57
1610.48,481.155,2357.62,1063.79,2771.99,637.713,2273.9,622.036,69.2336,1945.05,-2533.25,3657.92,-319.227,-1468.53
1334.62,571.479,2325.42,1193.96,2880.88,729.819,2310.23,718.76,186.48,1871.6,-2511.05,3744.68,-185.343,-1478.35
814.915,546.375,2314.87,1274.14,2784.07,489.297,2008.78,84.6871,156.004,1726.29,-2776.31,3697.83,-783.464,-1743.44
1077.23,244.391,2300.36,4299.34,1870.54,-506.284,2932.55,990.083,169.46,1779.62,-4886.45,3746.76,-2331.15,-3103.77
2973.62,55.3454,2408.68,4992.85,3254.28,-76.124,2355.7,1626.65,328.027,2169.67,-2635.8,5280.46,-2271.82,-2620.86
3463.3,-253.021,2760.08,5417.47,3508.96,879.928,2035.74,2563.48,-29.2377,1804.8,-2912.81,6845.01,-1792.54,-2702.71
3510.66,-244.908,5578.2,5514.2,3239.84,873.118,2388.94,2337.48,-294.222,1405.25,-4097.73,7318.24,-2243.36,-2225.99
3686.83,-20.093,5678.53,5438.42,3337.34,1117.39,2458.94,2434.63,34.5882,1038.55,-3948.54,6760.98,-1973.34,-2135.16
3357.55,599.796,5746.6,5629.82,3280,1229.64,2554.54,2318.94,-24.275,723.529,-4556.2,6214.52,-1899.6,-2147.57
2046.11,1768.69,5933.36,5610.89,2948.95,735.627,2599.46,1651.01,282.671,752.83,-4950.35,5600.31,-2650.79,-1925.57
1990.01,2891.2,5861.13,5381.96,3091.62,685.055,2368.8,644.655,45.8454,857.255,-4905.36,5631.32,-3402.57,-1883.29
1800.76,3515.92,4227.88,5022.4,3509.62,1029.6,2195.13,-603.677,189.607,575.245,-4645.3,4856.05,-2799.62,-1341.73
2492.5,4720.91,3600.36,3649.24,3578.08,1299.91,2019.41,-1459.03,441.551,-128.118,-4207.4,4400.37,-3051.83,-867.835
3405.43,5729.68,4221.51,3258.57,3701.54,2729.08,1693.2,-1643.8,480.547,-849.901,-3025.66,4607.97,-2486.68,-651.663
3754.63,4967.57,4107.23,2489.72,3233.99,3127.55,1087.25,-910.273,931.324,-1667.17,-3265.71,5094.15,-4262.34,-827.737
3713.07,5211.77,3768.93,153.195,3036.58,3199.46,884.304,-1753.55,320.942,-1827.37,-3823.85,4600.46,-5641.55,-1285.77
2782.97,5241.97,3467.45,-216.982,2686.5,4383.49,793.151,-1490.02,332.231,-1791.29,-3753.76,4840.27,-5856.71,-1634.05
591.236,5061.2,3427.82,-301.368,2725.97,4116.74,798.485,-1400.82,755.697,-1770.63,-3590.45,4808.45,-5483.69,-1650.3
-513.961,4399.01,3280.5,-538.571,2929.97,3395.01,378.951,-1166.15,1527.96,-1390.78,-4863.09,5003.01,-4808.38,-1385.02
-240.404,3504.62,2029.17,-197.357,3001.6,3004.34,132.815,-776.667,1843.45,-1295.3,-4163.15,5224.01,-4303.5,-625.777
311.153,2381.79,1546.49,219.105,2586.1,3466.76,-422.798,-304.914,2446.33,-614.984,-3400.88,5384.65,-3805.12,-54.939
-107.343,2424.51,836.153,2639.65,154.301,1530.02,1551.68,-1149.45,1698.83,-3035.33,3006.99,-1160.98,-1907.11,780.02
181.443,2433.33,864.64,2714.19,310.093,1852.7,860.632,-697.95,1841.38,-2765.3,3207.54,-913.124,-1650.08,1149.7
348.436,2448.15,898.464,2677.93,504.221,2100.03,1278.24,-272.642,1936.78,-2695.44,3361.3,-593.066,-1492.57,1334.76
481.155,2357.62,1063.79,2771.99,637.713,2273.9,1223.7,69.2336,1945.05,-2533.25,3657.92,-319.227,-1468.53,1482.54
571.479,2325.42,1193.96,2880.88,729.819,2310.23,1331.43,186.48,1871.6,-2511.05,3744.68,-185.343,-1478.35,1656.9
546.375,2314.87,1274.14,2784.07,489.297,2008.78,734.135,156.004,1726.29,-2776.31,3697.83,-783.464,-1743.44,1374.13
244.391,2300.36,4299.34,1870.54,-506.284,2932.55,1717.23,169.46,1779.62,-4886.45,3746.76,-2331.15,-3103.77,189.004
55.3454,2408.68,4992.85,3254.28,-76.124,2355.7,2418.09,328.027,2169.67,-2635.8,5280.46,-2271.82,-2620.86,1581.29
-253.021,2760.08,5417.47,3508.96,879.928,2035.74,3369.75,-29.2377,1804.8,-2912.81,6845.01,-1792.54,-2702.71,914.424
-244.908,5578.2,5514.2,3239.84,873.118,2388.94,3141.42,-294.222,1405.25,-4097.73,7318.24,-2243.36,-2225.99,1199.22
-20.093,5678.53,5438.42,3337.34,1117.39,2458.94,3236.21,34.5882,1038.55,-3948.54,6760.98,-1973.34,-2135.16,1000.51
599.796,5746.6,5629.82,3280,1229.64,2554.54,3116.91,-24.275,723.529,-4556.2,6214.52,-1899.6,-2147.57,1240.61
1768.69,5933.36,5610.89,2948.95,735.627,2599.46,2440.68,282.671,752.83,-4950.35,5600.31,-2650.79,-1925.57,1736.4
