Period,mape,smape,mae,rmse
83.000,2.314,2.350,0.899,1.159
84.000,2.759,2.813,1.078,1.412
85.000,3.281,3.360,1.292,1.614
86.000,3.147,3.211,1.248,1.562
87.000,3.319,3.371,1.331,1.642
88.000,4.288,4.427,1.782,2.255
89.000,5.724,5.970,2.430,3.001
90.000,5.854,6.130,2.525,3.203
91.000,6.317,6.627,2.732,3.384
92.000,7.061,7.415,3.072,3.631
93.000,8.243,8.680,3.598,4.022
94.000,7.673,8.050,3.368,3.767
95.000,8.310,8.728,3.646,3.951
96.000,7.329,7.673,3.230,3.600
97.000,6.098,6.356,2.705,3.143
98.000,4.835,5.025,2.158,2.718
99.000,5.662,5.837,2.488,2.953
100.000,5.826,5.975,2.534,2.936
101.000,5.767,5.866,2.470,2.815
102.000,5.076,5.092,2.128,2.470
103.000,4.562,4.447,1.840,2.218
104.000,6.033,5.702,2.294,3.094
105.000,9.107,8.254,3.203,4.522
106.000,10.228,9.289,3.644,4.812
107.000,11.510,10.469,4.151,5.155
108.000,14.413,12.728,4.921,6.287
109.000,15.478,13.616,5.164,6.544
110.000,14.487,12.766,4.799,6.254
111.000,15.669,13.881,5.247,6.522
112.000,15.628,14.054,5.269,6.437
113.000,13.738,12.790,4.702,5.934
114.000,14.778,13.996,5.185,6.217
115.000,15.469,14.799,5.503,6.316
116.000,16.023,15.245,5.707,6.469
117.000,16.655,15.799,5.948,6.600
118.000,16.852,17.142,6.345,6.883
119.000,19.421,21.471,7.738,8.423
120.000,18.392,19.784,7.240,7.735
121.000,19.730,21.383,7.833,8.117
122.000,25.099,29.109,10.360,10.874
123.000,25.259,29.099,10.434,10.672
124.000,16.732,18.396,6.938,7.234
125.000,8.894,9.411,3.715,4.156
126.000,4.520,4.655,1.878,2.217
127.000,3.383,3.412,1.362,1.564
128.000,3.858,3.793,1.521,1.845
129.000,4.453,4.375,1.754,2.108
130.000,5.395,5.216,2.099,2.579
131.000,6.129,5.909,2.380,2.793
132.000,8.219,7.813,3.152,3.540
133.000,6.251,5.995,2.319,2.769
134.000,8.783,8.303,3.254,3.653
135.000,8.007,7.605,2.947,3.320
136.000,7.714,7.353,2.825,3.143
137.000,9.722,8.760,3.160,4.340
138.000,10.688,9.612,3.436,4.641
139.000,11.308,10.212,3.616,4.695
140.000,15.407,13.695,4.863,5.836
141.000,15.842,14.122,4.994,5.863
142.000,13.173,11.765,4.030,5.223
143.000,13.345,11.934,4.046,5.252
144.000,16.886,14.610,4.844,6.325
145.000,20.169,17.293,5.766,7.174
146.000,40.485,26.229,7.936,10.321
147.000,44.623,28.372,8.025,10.635
148.000,48.551,31.453,8.967,11.219
149.000,52.603,34.377,10.028,11.895
150.000,52.838,34.960,10.173,11.776
151.000,36.716,24.476,6.386,8.647
152.000,38.502,25.757,6.833,8.946
153.000,42.737,28.880,7.861,9.627
154.000,39.298,26.770,7.061,8.858
155.000,41.533,28.532,7.661,9.192
156.000,36.615,25.339,6.547,8.199
157.000,33.111,23.038,5.785,7.494
158.000,19.810,13.444,2.855,5.186
159.000,20.551,14.133,3.071,5.254
160.000,17.420,19.336,5.009,5.403
161.000,15.558,17.131,4.537,4.943
162.000,13.070,14.185,3.860,4.221
163.000,4.588,4.674,1.338,1.478
164.000,4.007,4.031,1.165,1.283
165.000,3.798,3.800,1.099,1.229
166.000,3.276,3.207,0.923,1.191
167.000,3.743,3.678,1.056,1.270
168.000,5.637,5.253,1.438,2.162
169.000,5.997,5.604,1.536,2.194
170.000,6.007,5.660,1.544,2.117
171.000,7.210,6.863,1.875,2.462
172.000,7.302,7.353,1.949,2.740
173.000,8.622,8.982,2.367,3.282
174.000,10.601,11.280,2.929,3.922
175.000,13.906,15.429,3.923,4.970
176.000,13.458,14.741,3.765,4.846
177.000,15.032,16.496,4.271,5.269
178.000,16.821,18.444,4.861,5.702
179.000,19.016,21.296,5.655,6.546
180.000,20.923,23.477,6.364,7.094
181.000,24.260,27.967,7.587,8.324
182.000,31.020,37.250,9.926,10.443
183.000,29.138,34.466,9.542,9.967
184.000,26.480,30.758,8.853,9.204
185.000,22.938,26.092,7.851,8.190
186.000,19.001,21.185,6.672,7.061
187.000,18.392,20.361,6.547,6.809
188.000,15.730,17.168,5.693,5.943
189.000,13.403,14.468,4.918,5.182
190.000,13.467,14.489,4.961,5.097
191.000,11.581,12.333,4.302,4.420
192.000,10.128,10.696,3.790,3.878
193.000,8.897,9.327,3.353,3.409
194.000,7.023,7.287,2.661,2.699
195.000,4.783,4.910,1.816,1.889
196.000,2.997,3.053,1.137,1.253
197.000,1.688,1.714,0.643,0.856
198.000,1.847,1.875,0.706,0.889
199.000,1.505,1.525,0.578,0.769
200.000,1.666,1.686,0.642,0.813
201.000,1.817,1.828,0.706,0.865
202.000,2.093,2.104,0.814,0.959
203.000,2.140,2.138,0.835,0.974
204.000,2.667,2.655,1.053,1.260
205.000,3.395,3.355,1.347,1.650
206.000,4.029,3.934,1.604,2.036
207.000,4.857,4.653,1.925,2.648
208.000,6.077,5.773,2.391,3.177
209.000,8.453,7.917,3.231,4.031
210.000,9.780,8.997,3.546,4.543
211.000,10.945,10.075,3.973,4.814
212.000,12.001,11.052,4.360,5.050
213.000,13.890,12.735,5.032,5.593
214.000,14.174,12.943,5.051,5.708
215.000,14.619,13.325,5.158,5.824
216.000,15.965,14.479,5.523,6.128
217.000,17.395,15.773,5.997,6.392
218.000,16.414,14.961,5.603,5.998
219.000,15.224,13.967,5.171,5.557
220.000,14.670,13.521,4.981,5.316
221.000,13.678,12.682,4.638,4.945
222.000,13.029,12.134,4.411,4.683
223.000,11.096,10.417,3.750,4.063
224.000,8.987,8.578,3.057,3.244
225.000,11.502,10.809,3.928,4.132
226.000,11.880,11.184,4.088,4.175
227.000,9.817,9.336,3.408,3.490
228.000,6.997,6.713,2.461,2.731
229.000,6.980,6.681,2.456,2.819
230.000,6.865,6.535,2.382,2.936
231.000,9.871,9.249,3.377,3.889
232.000,8.453,7.935,2.886,3.538
233.000,8.676,8.159,2.967,3.536
234.000,7.903,7.447,2.699,3.310
235.000,8.185,7.725,2.784,3.315
236.000,7.370,6.970,2.498,3.077
237.000,6.575,6.224,2.223,2.875
238.000,5.468,5.186,1.840,2.570
239.000,5.909,5.610,1.998,2.657
240.000,6.024,5.732,2.034,2.622
241.000,5.858,5.601,1.965,2.469
242.000,4.423,4.329,1.466,1.762
243.000,3.937,3.959,1.307,1.563
244.000,5.148,5.329,1.710,2.020
245.000,7.011,7.265,2.269,2.501
246.000,6.513,6.713,2.060,2.293
247.000,5.926,6.180,1.845,2.664
