Period,mape,smape,mae,rmse
162.000,15.459,16.793,4.542,4.625
163.000,6.672,6.962,1.994,2.249
164.000,6.428,6.691,1.933,2.158
165.000,6.636,6.898,1.993,2.173
166.000,4.374,4.475,1.318,1.491
167.000,4.658,4.784,1.409,1.608
168.000,4.999,4.845,1.348,1.839
169.000,5.350,5.083,1.403,2.022
170.000,6.308,5.972,1.664,2.262
171.000,7.833,7.300,2.063,2.721
172.000,7.398,6.969,1.967,2.529
173.000,8.014,7.565,2.151,2.616
174.000,8.869,8.313,2.376,2.855
175.000,8.272,7.888,2.258,2.548
176.000,10.826,10.066,2.946,3.369
177.000,11.903,11.063,3.276,3.580
178.000,11.297,10.548,3.128,3.380
179.000,7.315,6.984,2.030,2.266
180.000,9.276,8.765,2.598,2.853
181.000,8.917,8.574,2.581,2.771
182.000,4.639,4.896,1.613,2.606
183.000,5.629,5.948,1.988,2.939
184.000,6.421,6.869,2.329,3.379
185.000,7.237,7.746,2.656,3.638
186.000,8.331,8.930,3.080,3.971
187.000,9.544,10.261,3.551,4.350
188.000,10.420,11.190,3.868,4.506
189.000,11.525,12.417,4.278,4.807
190.000,12.822,13.854,4.764,5.149
191.000,12.607,13.570,4.699,4.991
192.000,12.489,13.390,4.673,4.847
193.000,10.306,10.914,3.883,4.032
194.000,7.550,7.884,2.859,3.024
195.000,4.563,4.699,1.734,1.958
196.000,2.888,2.940,1.100,1.309
197.000,2.691,2.731,1.025,1.201
198.000,2.791,2.834,1.065,1.233
199.000,2.112,2.115,0.803,0.944
200.000,2.228,2.201,0.848,1.002
201.000,2.560,2.509,0.978,1.230
202.000,2.641,2.587,1.008,1.263
203.000,2.239,2.223,0.863,1.025
204.000,2.170,2.202,0.852,1.079
205.000,2.668,2.721,1.054,1.297
206.000,2.440,2.480,0.963,1.155
207.000,1.834,1.842,0.719,0.881
208.000,1.837,1.838,0.719,0.878
209.000,2.216,2.206,0.846,0.998
210.000,3.002,2.961,1.079,1.530
211.000,3.092,3.025,1.099,1.549
212.000,3.345,3.273,1.191,1.592
213.000,3.735,3.661,1.331,1.724
214.000,4.453,4.359,1.580,1.976
215.000,4.877,4.757,1.717,2.070
216.000,5.640,5.422,1.920,2.344
217.000,6.631,6.289,2.231,2.789
218.000,7.507,7.119,2.531,2.988
219.000,7.640,7.255,2.576,2.982
220.000,7.925,7.533,2.680,3.026
221.000,7.406,7.066,2.502,2.823
222.000,8.519,8.103,2.883,3.141
223.000,6.931,6.657,2.340,2.557
224.000,3.622,3.591,1.248,1.442
225.000,4.690,4.577,1.604,1.807
226.000,4.933,4.820,1.695,1.845
227.000,3.935,3.916,1.375,1.548
228.000,3.579,3.655,1.276,1.639
229.000,3.683,3.737,1.308,1.578
230.000,4.009,4.095,1.419,1.710
231.000,3.748,3.660,1.317,1.644
232.000,3.501,3.526,1.246,1.424
233.000,4.117,4.184,1.464,1.642
234.000,5.184,5.331,1.840,2.017
235.000,5.783,5.983,2.047,2.248
236.000,7.054,7.341,2.481,2.636
237.000,5.596,5.794,1.970,2.184
238.000,5.903,6.138,2.069,2.346
239.000,4.690,4.864,1.646,2.042
240.000,4.164,4.309,1.451,1.897
241.000,3.985,4.101,1.372,1.755
242.000,4.363,4.487,1.489,1.805
243.000,5.297,5.489,1.792,2.122
244.000,5.939,6.168,1.974,2.257
245.000,7.522,7.640,2.342,2.618
246.000,6.999,7.020,2.137,2.424
247.000,6.934,6.890,2.097,2.392
