Period,mape,smape,mae,rmse
278.000,4.796,4.948,1.837,2.415
279.000,4.027,4.111,1.537,2.146
280.000,4.403,4.494,1.665,2.259
281.000,5.937,5.749,2.177,2.672
282.000,3.982,3.973,1.446,1.907
283.000,4.172,4.151,1.514,1.958
284.000,4.430,4.588,1.623,2.024
285.000,4.956,5.137,1.815,2.158
286.000,3.716,3.836,1.362,1.766
287.000,3.475,3.551,1.279,1.592
288.000,4.218,4.360,1.573,1.971
289.000,4.293,4.432,1.617,1.994
290.000,4.619,4.766,1.749,2.056
291.000,5.149,5.335,1.949,2.278
292.000,3.396,3.463,1.298,1.558
293.000,3.681,3.754,1.399,1.671
294.000,4.445,4.494,1.672,2.007
295.000,4.731,4.822,1.799,2.122
296.000,5.358,5.578,2.102,2.635
297.000,6.788,7.206,2.886,4.165
298.000,8.420,8.999,3.612,4.765
299.000,9.386,10.134,4.167,5.536
300.000,10.484,11.342,4.629,5.841
301.000,10.039,10.874,4.472,5.801
302.000,10.283,11.094,4.583,5.766
303.000,10.433,11.227,4.643,5.731
304.000,10.937,11.788,4.871,5.869
305.000,12.882,13.998,5.717,6.532
306.000,11.845,12.798,5.284,6.087
307.000,10.127,10.874,4.545,5.424
308.000,9.142,9.786,4.088,4.994
309.000,10.011,10.720,4.467,5.226
310.000,8.476,9.012,3.763,4.532
311.000,5.585,5.769,2.432,2.986
312.000,6.414,6.757,2.771,3.555
313.000,4.020,3.994,1.698,1.966
314.000,4.086,4.102,1.707,1.946
315.000,4.864,4.820,2.030,2.342
316.000,4.303,4.386,1.775,2.052
317.000,4.932,5.133,2.052,2.594
318.000,4.920,5.117,2.047,2.567
319.000,4.877,5.056,2.026,2.509
320.000,4.955,5.127,2.058,2.471
321.000,3.874,3.941,1.613,1.953
322.000,4.270,4.318,1.774,2.026
323.000,4.166,4.251,1.734,2.058
324.000,4.528,4.664,1.888,2.276
325.000,4.175,4.200,1.728,2.030
326.000,5.177,5.263,2.106,2.466
327.000,5.130,5.142,2.063,2.397
328.000,5.008,4.967,2.002,2.332
329.000,5.404,5.265,2.113,2.504
330.000,6.714,6.460,2.583,3.041
331.000,7.737,7.361,2.970,3.482
332.000,6.414,6.169,2.412,2.976
333.000,6.067,5.935,2.300,2.745
334.000,6.862,6.587,2.564,3.044
335.000,8.728,8.249,3.251,3.737
336.000,9.499,8.973,3.527,3.911
337.000,6.595,6.300,2.425,2.900
338.000,7.353,7.010,2.706,3.125
339.000,4.391,4.238,1.613,2.078
340.000,2.576,2.517,0.952,1.481
341.000,2.589,2.532,0.957,1.475
342.000,3.466,3.377,1.272,1.773
343.000,3.380,3.376,1.243,1.790
344.000,4.852,5.033,1.812,2.237
345.000,3.513,3.479,1.285,1.789
346.000,5.308,5.509,1.938,2.249
347.000,3.530,3.646,1.279,1.744
348.000,4.806,5.031,1.763,2.432
349.000,4.838,5.066,1.759,2.457
350.000,5.248,5.492,1.891,2.518
351.000,5.902,6.089,2.084,2.641
352.000,5.978,6.162,2.107,2.633
