Date,Supply
2015-12-20,1.10759e+06
2015-12-21,1.20484e+06
2015-12-22,1.21098e+06
2015-12-23,1.18316e+06
2015-12-24,1.09613e+06
2015-12-25,1.06898e+06
2015-12-26,1.09354e+06
2015-12-27,1.20651e+06
2015-12-28,1.3786e+06
2015-12-29,1.36148e+06
2015-12-30,1.32712e+06
2015-12-31,1.25253e+06
2016-01-01,1.21218e+06
2016-01-02,1.26432e+06
2016-01-03,1.3192e+06
2016-01-04,1.49254e+06
2016-01-05,1.53444e+06
2016-01-06,1.56214e+06
2016-01-07,1.60594e+06
2016-01-08,1.552e+06
2016-01-09,1.48801e+06
2016-01-10,1.38498e+06
2016-01-11,1.49638e+06
2016-01-12,1.48457e+06
2016-01-13,1.51664e+06
2016-01-14,1.57689e+06
2016-01-15,1.60489e+06
2016-01-16,1.51675e+06
2016-01-17,1.48284e+06
2016-01-18,1.60255e+06
2016-01-19,1.58622e+06
2016-01-20,1.59903e+06
2016-01-21,1.60271e+06
2016-01-22,1.59545e+06
2016-01-23,1.43311e+06
2016-01-24,1.34474e+06
2016-01-25,1.42621e+06
2016-01-26,1.38381e+06
2016-01-27,1.33785e+06
2016-01-28,1.35129e+06
2016-01-29,1.33577e+06
2016-01-30,1.1978e+06
2016-01-31,1.2201e+06
2016-02-01,1.3855e+06
2016-02-02,1.36198e+06
2016-02-03,1.37781e+06
2016-02-04,1.42385e+06
2016-02-05,1.44576e+06
2016-02-06,1.24047e+06
2016-02-07,1.13838e+06
2016-02-08,1.28414e+06
2016-02-09,1.31372e+06
2016-02-10,1.37565e+06
2016-02-11,1.38906e+06
2016-02-12,1.4358e+06
2016-02-13,1.33461e+06
2016-02-14,1.25548e+06
2016-02-15,1.45117e+06
2016-02-16,1.48521e+06
2016-02-17,1.4399e+06
2016-02-18,1.46575e+06
2016-02-19,1.42724e+06
2016-02-20,1.26181e+06
2016-02-21,1.17463e+06
2016-02-22,1.32769e+06
2016-02-23,1.36242e+06
2016-02-24,1.39094e+06
2016-02-25,1.41796e+06
2016-02-26,1.42298e+06
2016-02-27,1.32613e+06
2016-02-28,1.23264e+06
2016-02-29,1.4119e+06
2016-03-01,1.43158e+06
2016-03-02,1.41618e+06
2016-03-03,1.42706e+06
2016-03-04,1.39399e+06
2016-03-05,1.28493e+06
2016-03-06,1.23746e+06
2016-03-07,1.38364e+06
2016-03-08,1.37205e+06
2016-03-09,1.3605e+06
2016-03-10,1.36256e+06
2016-03-11,1.35357e+06
2016-03-12,1.25144e+06
2016-03-13,1.17013e+06
2016-03-14,1.30564e+06
2016-03-15,1.28218e+06
2016-03-16,1.25596e+06
2016-03-17,1.29584e+06
2016-03-18,1.29902e+06
2016-03-19,1.19273e+06
2016-03-20,1.10612e+06
2016-03-21,1.27622e+06
2016-03-22,1.30327e+06
2016-03-23,1.29714e+06
2016-03-24,1.27801e+06
2016-03-25,1.18205e+06
2016-03-26,1.05084e+06
2016-03-27,949720
2016-03-28,1.02514e+06
2016-03-29,1.18159e+06
2016-03-30,1.24907e+06
2016-03-31,1.28081e+06
2016-04-01,1.27717e+06
2016-04-02,1.12176e+06
2016-04-03,1.01392e+06
2016-04-04,1.19328e+06
2016-04-05,1.20707e+06
2016-04-06,1.1689e+06
2016-04-07,1.16634e+06
2016-04-08,1.20521e+06
2016-04-09,1.09974e+06
2016-04-10,1.00931e+06
2016-04-11,1.15079e+06
2016-04-12,1.1713e+06
2016-04-13,1.17965e+06
2016-04-14,1.19396e+06
2016-04-15,1.17904e+06
2016-04-16,1.00483e+06
2016-04-17,1.00034e+06
2016-04-18,1.15849e+06
2016-04-19,1.15062e+06
2016-04-20,1.15463e+06
2016-04-21,1.16165e+06
2016-04-22,1.14538e+06
2016-04-23,1.05682e+06
2016-04-24,1.00962e+06
2016-04-25,1.19843e+06
2016-04-26,1.19858e+06
2016-04-27,1.18594e+06
2016-04-28,1.20809e+06
2016-04-29,1.14729e+06
2016-04-30,1.05481e+06
2016-05-01,909410
