Date,Demand
2016-02-20,1.27768e+06
2016-02-21,1.23298e+06
2016-02-22,1.35316e+06
2016-02-23,1.36453e+06
2016-02-24,1.36524e+06
2016-02-25,1.37828e+06
2016-02-26,1.36405e+06
2016-02-27,1.28785e+06
2016-02-28,1.26369e+06
2016-02-29,1.40363e+06
2016-03-01,1.39883e+06
2016-03-02,1.39291e+06
2016-03-03,1.38627e+06
2016-03-04,1.36118e+06
2016-03-05,1.2548e+06
2016-03-06,1.24894e+06
2016-03-07,1.35718e+06
2016-03-08,1.34745e+06
2016-03-09,1.33388e+06
2016-03-10,1.32869e+06
2016-03-11,1.31631e+06
2016-03-12,1.23337e+06
2016-03-13,1.2026e+06
2016-03-14,1.27189e+06
2016-03-15,1.23143e+06
2016-03-16,1.22034e+06
2016-03-17,1.24038e+06
2016-03-18,1.25497e+06
2016-03-19,1.17183e+06
2016-03-20,1.14235e+06
2016-03-21,1.25095e+06
2016-03-22,1.27007e+06
2016-03-23,1.25497e+06
2016-03-24,1.22582e+06
2016-03-25,1.1378e+06
2016-03-26,1.08415e+06
2016-03-27,1.00547e+06
2016-03-28,1.06515e+06
2016-03-29,1.17276e+06
2016-03-30,1.21698e+06
2016-03-31,1.22247e+06
2016-04-01,1.21547e+06
2016-04-02,1.10809e+06
2016-04-03,1.07094e+06
2016-04-04,1.16971e+06
2016-04-05,1.17061e+06
2016-04-06,1.16071e+06
2016-04-07,1.16173e+06
2016-04-08,1.16074e+06
2016-04-09,1.07440e+06
2016-04-10,1.04992e+06
2016-04-11,1.14142e+06
2016-04-12,1.13738e+06
2016-04-13,1.14516e+06
2016-04-14,1.16201e+06
2016-04-15,1.15707e+06
2016-04-16,1.04796e+06
2016-04-17,1.038e+06
2016-04-18,1.13709e+06
2016-04-19,1.14398e+06
2016-04-20,1.13936e+06
2016-04-21,1.13264e+06
2016-04-22,1.12562e+06
2016-04-23,1.07042e+06
2016-04-24,1.06904e+06
2016-04-25,1.18277e+06
2016-04-26,1.17519e+06
2016-04-27,1.15851e+06
2016-04-28,1.1667e+06
2016-04-29,1.12122e+06
2016-04-30,1.03073e+06
2016-05-01,975516
2016-05-02,1.08329e+06
2016-05-03,1.06257e+06
2016-05-04,1.05233e+06
2016-05-05,962662
2016-05-06,979751
2016-05-07,905930
2016-05-08,869129
2016-05-09,961087
2016-05-10,969960
2016-05-11,977215
2016-05-12,998988
2016-05-13,1.00985e+06
2016-05-14,940092
2016-05-15,922421
2016-05-16,999566
2016-05-17,993190
2016-05-18,1.03373e+06
2016-05-19,1.02584e+06
2016-05-20,1.00343e+06
2016-05-21,897325
2016-05-22,875740
2016-05-23,984076
2016-05-24,983301
2016-05-25,992573
2016-05-26,1.00146e+06
2016-05-27,980119
2016-05-28,874493
2016-05-29,859047
2016-05-30,969236
2016-05-31,966963
2016-06-01,962282
2016-06-02,956855
2016-06-03,942923
2016-06-04,853139
2016-06-05,836594
2016-06-06,924858
2016-06-07,965332
2016-06-08,973770
2016-06-09,989100
2016-06-10,976899
2016-06-11,889525
2016-06-12,866516
2016-06-13,971291
2016-06-14,966830
2016-06-15,968228
2016-06-16,965619
2016-06-17,954440
2016-06-18,863896
2016-06-19,850964
2016-06-20,955948
2016-06-21,950518
2016-06-22,936855
2016-06-23,915731
2016-06-24,848209
2016-06-25,795037
2016-06-26,805836
2016-06-27,916459
2016-06-28,939827
2016-06-29,952359
2016-06-30,955527
2016-07-01,932619
2016-07-02,845857
2016-07-03,840919
2016-07-04,938610
2016-07-05,957473
2016-07-06,937965
2016-07-07,940366
2016-07-08,919832
2016-07-09,830109
2016-07-10,821158
2016-07-11,900093
2016-07-12,896211
2016-07-13,895076
2016-07-14,901622
2016-07-15,889617
2016-07-16,817043
2016-07-17,804378
2016-07-18,881465
2016-07-19,879981
2016-07-20,871800
2016-07-21,867081
2016-07-22,868559
2016-07-23,819238
2016-07-24,793277
2016-07-25,873770
2016-07-26,861176
2016-07-27,871194
2016-07-28,872540
2016-07-29,876547
2016-07-30,813046
2016-07-31,793508
2016-08-01,880680
2016-08-02,890702
2016-08-03,895817
2016-08-04,902400
2016-08-05,894161
2016-08-06,825195
2016-08-07,821356
2016-08-08,914455
2016-08-09,944530
2016-08-10,964357
2016-08-11,967498
2016-08-12,956560
2016-08-13,871405
2016-08-14,851003
2016-08-15,960307
2016-08-16,973332
2016-08-17,976527
2016-08-18,977856
2016-08-19,960252
2016-08-20,870127
2016-08-21,862399
2016-08-22,969718
2016-08-23,968854
2016-08-24,970405
2016-08-25,980409
2016-08-26,960466
2016-08-27,863122
2016-08-28,872718
2016-08-29,980047
2016-08-30,983195
2016-08-31,986116
2016-09-01,981160
2016-09-02,962053
2016-09-03,871856
2016-09-04,862895
2016-09-05,981112
2016-09-06,988442
2016-09-07,982432
2016-09-08,978775
2016-09-09,970639
2016-09-10,864817
2016-09-11,856346
2016-09-12,982266
2016-09-13,991995
2016-09-14,984109
2016-09-15,977272
2016-09-16,968414
2016-09-17,891585
2016-09-18,880637
2016-09-19,959920
2016-09-20,993282
2016-09-21,1.00282e+06
2016-09-22,1.0041e+06
2016-09-23,993419
2016-09-24,912696
2016-09-25,873550
2016-09-26,964118
2016-09-27,1.0077e+06
2016-09-28,1.01061e+06
2016-09-29,1.01691e+06
2016-09-30,1.00504e+06
2016-10-01,932628
2016-10-02,934206
2016-10-03,1.05676e+06
2016-10-04,1.08152e+06
2016-10-05,1.09388e+06
2016-10-06,1.09748e+06
2016-10-07,1.0782e+06
2016-10-08,1.00181e+06
2016-10-09,1.01393e+06
2016-10-10,1.12894e+06
2016-10-11,1.15104e+06
2016-10-12,1.16964e+06
2016-10-13,1.17829e+06
2016-10-14,1.17328e+06
2016-10-15,1.06866e+06
2016-10-16,1.0556e+06
2016-10-17,1.15331e+06
2016-10-18,1.14344e+06
2016-10-19,1.13705e+06
2016-10-20,1.15142e+06
2016-10-21,1.15755e+06
2016-10-22,1.09926e+06
2016-10-23,1.09296e+06
2016-10-24,1.19682e+06
2016-10-25,1.21476e+06
2016-10-26,1.21665e+06
2016-10-27,1.16851e+06
2016-10-28,1.13052e+06
2016-10-29,1.07051e+06
2016-10-30,1.1134e+06
2016-10-31,1.19161e+06
2016-11-01,1.20305e+06
2016-11-02,1.26633e+06
2016-11-03,1.3023e+06
2016-11-04,1.30428e+06
2016-11-05,1.21619e+06
2016-11-06,1.23917e+06
2016-11-07,1.41394e+06
2016-11-08,1.42622e+06
2016-11-09,1.42252e+06
2016-11-10,1.40852e+06
2016-11-11,1.40318e+06
2016-11-12,1.29545e+06
2016-11-13,1.2279e+06
2016-11-14,1.31759e+06
2016-11-15,1.28186e+06
2016-11-16,1.27785e+06
2016-11-17,1.27035e+06
2016-11-18,1.2596e+06
2016-11-19,1.17876e+06
2016-11-20,1.16386e+06
2016-11-21,1.25439e+06
2016-11-22,1.23668e+06
2016-11-23,1.22644e+06
2016-11-24,1.28296e+06
2016-11-25,1.27717e+06
2016-11-26,1.15139e+06
2016-11-27,1.19697e+06
2016-11-28,1.36839e+06
2016-11-29,1.35135e+06
2016-11-30,1.32867e+06
2016-12-01,1.32863e+06
