Date,Prec Hamar,Prec Kvin,Prec Oppdal,Prec Troms,Prec Bergen,Prec Norway
2020-12-07,4,1.5,0,0.2,0.1,5.8
2020-12-08,1,10.6,0,0.2,3.8,15.6
2020-12-09,4.6,4.1,0.2,0,3.2,12.1
2020-12-10,1.6,0.8,0,0,0,2.4
2020-12-11,0.6,5,0,0.7,0,6.3
2020-12-12,1.1,0.1,0,0,0,1.2
2020-12-13,1.5,0.1,0,0,0,1.6
2020-12-14,1,9.9,0,0,0.3,11.2
2020-12-15,4.6,39.6,0,0,7.3,51.5
2020-12-16,5.4,21.3,0.7,0.2,25.8,53.4
2020-12-17,0,12,0,0,7,19
2020-12-18,7.5,18.8,0,0,8,34.3
2020-12-19,1.4,25.6,0,0,4.1,31.1
2020-12-20,0,27.8,0,0,11.9,39.7
2020-12-21,0.2,26.2,0,2,19.6,48
2020-12-22,0,12.5,0,0,14.4,26.9
2020-12-23,1,4.8,4.9,0,21.5,32.2
2020-12-24,0,0,10.1,0,2.6,12.7
2020-12-25,0,0,2.9,0.1,0,3
2020-12-26,0.1,6.5,0,0,7.7,14.3
2020-12-27,3.1,56.8,0,0,16.1,76
2020-12-28,2.3,36.5,0,0,13.5,52.3
2020-12-29,4.2,2.2,0,0,0,6.4
2020-12-30,2.7,0.1,0,0,0,2.8
2020-12-31,2.6,0,0.5,0,0.7,3.8
