Period,mape,smape,mae,rmse
110.000,7.991,8.298,3.008,3.652
111.000,8.691,8.745,3.167,3.583
112.000,10.093,10.186,3.694,4.076
113.000,10.788,11.350,4.133,4.793
114.000,12.005,12.760,4.691,5.300
115.000,13.459,14.497,5.351,5.921
116.000,11.618,11.884,4.413,4.705
117.000,11.056,10.832,4.001,4.418
118.000,12.359,12.783,4.782,4.971
119.000,13.728,14.785,5.547,6.026
120.000,9.793,9.758,3.687,4.149
121.000,10.194,10.085,3.827,4.219
122.000,14.609,15.985,6.107,6.636
123.000,15.126,16.507,6.319,6.645
124.000,11.358,12.122,4.750,5.013
125.000,6.638,6.834,2.717,2.791
126.000,4.392,4.463,1.718,2.084
127.000,5.105,5.228,2.012,2.482
128.000,5.629,5.778,2.215,2.671
129.000,6.639,6.857,2.614,2.971
130.000,6.343,6.536,2.462,2.953
131.000,6.691,6.892,2.592,3.002
132.000,5.956,6.064,2.256,2.822
133.000,10.191,10.823,4.006,4.296
134.000,6.051,6.324,2.344,2.821
135.000,5.688,5.925,2.184,2.634
136.000,5.195,5.358,1.972,2.286
137.000,7.390,7.350,2.566,3.148
138.000,8.291,8.258,2.874,3.332
139.000,8.425,8.348,2.893,3.294
140.000,8.058,7.549,2.502,3.248
141.000,8.542,7.786,2.542,3.672
142.000,9.536,8.714,2.866,3.881
143.000,10.932,9.983,3.304,4.220
144.000,15.633,13.689,4.474,5.758
145.000,16.305,14.338,4.633,5.778
146.000,34.420,22.415,6.434,8.802
147.000,37.607,24.289,6.478,8.984
148.000,42.080,27.583,7.492,9.743
149.000,45.896,30.194,8.406,10.442
150.000,48.686,32.377,9.162,10.855
151.000,31.192,20.743,5.100,7.533
152.000,34.197,22.569,5.726,8.165
153.000,35.898,24.048,6.163,8.342
154.000,33.136,22.384,5.569,7.729
155.000,37.543,25.527,6.618,8.485
156.000,34.225,23.324,5.868,7.838
157.000,30.421,20.638,4.992,7.161
158.000,20.103,14.502,3.146,4.972
159.000,20.919,13.697,2.915,5.552
160.000,29.261,34.420,8.318,8.558
161.000,22.979,26.110,6.684,6.888
162.000,18.554,20.505,5.472,5.580
163.000,5.209,5.400,1.590,1.885
164.000,4.841,4.993,1.479,1.723
165.000,4.632,4.756,1.410,1.616
166.000,3.451,3.427,0.998,1.226
167.000,4.957,5.114,1.509,1.740
168.000,5.395,5.266,1.474,1.931
169.000,5.805,5.602,1.563,2.044
170.000,6.520,6.187,1.725,2.271
171.000,7.782,7.278,2.038,2.630
172.000,7.163,6.821,1.915,2.347
173.000,8.200,7.741,2.190,2.609
174.000,8.147,7.754,2.199,2.509
175.000,7.479,7.257,2.059,2.319
176.000,10.486,9.761,2.839,3.260
177.000,12.507,11.571,3.422,3.753
178.000,11.627,10.804,3.182,3.495
179.000,7.301,6.984,2.011,2.282
180.000,10.181,9.606,2.844,3.098
181.000,7.849,7.738,2.332,2.698
182.000,8.586,9.268,2.929,3.969
183.000,7.910,8.541,2.801,3.933
184.000,10.312,11.200,3.656,4.638
185.000,9.204,9.936,3.354,4.341
186.000,10.684,11.613,3.938,4.891
187.000,12.279,13.406,4.555,5.392
188.000,13.370,14.591,4.951,5.601
189.000,15.444,16.988,5.715,6.231
190.000,16.530,18.166,6.124,6.420
191.000,15.487,16.867,5.769,5.948
192.000,14.054,15.160,5.274,5.387
193.000,11.250,11.960,4.261,4.394
194.000,7.784,8.143,2.972,3.183
195.000,5.333,5.534,2.045,2.401
196.000,4.769,4.935,1.825,2.180
197.000,5.181,5.361,1.991,2.286
198.000,6.099,6.328,2.352,2.581
199.000,4.180,4.306,1.628,1.937
200.000,4.137,4.255,1.619,1.915
201.000,3.910,3.987,1.526,1.758
202.000,4.943,5.112,1.942,2.329
203.000,6.732,7.071,2.654,3.162
204.000,8.216,8.669,3.256,3.671
205.000,7.782,8.183,3.095,3.466
206.000,5.721,5.949,2.274,2.656
207.000,3.874,3.993,1.530,2.044
208.000,3.849,3.961,1.517,2.005
209.000,4.568,4.694,1.783,2.195
210.000,7.135,7.338,2.732,3.060
211.000,5.747,5.803,2.146,2.580
212.000,5.838,5.857,2.164,2.558
213.000,6.218,6.143,2.265,2.673
214.000,7.196,6.924,2.543,3.083
215.000,8.650,8.144,3.001,3.660
216.000,11.342,10.485,3.861,4.552
217.000,13.879,12.728,4.730,5.288
218.000,14.610,13.403,4.964,5.420
219.000,13.600,12.548,4.602,5.044
220.000,13.436,12.445,4.551,4.905
221.000,12.224,11.402,4.134,4.459
222.000,13.529,12.600,4.581,4.755
223.000,9.529,9.033,3.218,3.439
224.000,5.096,4.979,1.742,1.877
225.000,7.755,7.422,2.645,2.827
226.000,6.842,6.581,2.339,2.501
227.000,4.899,4.760,1.675,1.823
228.000,2.638,2.609,0.899,1.048
229.000,3.379,3.316,1.155,1.346
230.000,2.551,2.552,0.881,1.236
231.000,5.714,5.507,1.941,2.199
232.000,2.736,2.677,0.929,1.238
233.000,3.143,3.067,1.067,1.348
234.000,2.775,2.716,0.944,1.239
235.000,3.042,2.980,1.032,1.334
236.000,3.254,3.216,1.107,1.338
237.000,3.536,3.455,1.189,1.474
238.000,3.841,3.788,1.298,1.529
239.000,4.636,4.494,1.553,1.928
240.000,4.880,4.736,1.637,1.948
241.000,5.472,5.304,1.828,2.076
242.000,4.587,4.507,1.518,1.731
243.000,3.931,3.957,1.318,1.526
244.000,3.737,3.848,1.287,1.708
245.000,6.181,5.989,1.844,2.669
246.000,6.719,6.301,1.920,2.727
247.000,6.780,6.340,1.932,2.752
248.000,7.489,6.933,2.129,2.938
249.000,6.456,6.243,1.906,2.724
250.000,6.772,6.560,2.015,2.759
251.000,6.688,6.179,1.879,2.795
252.000,8.232,7.471,2.308,3.288
253.000,9.522,8.638,2.709,3.608
254.000,6.166,5.586,1.669,2.770
255.000,5.127,4.742,1.410,2.360
256.000,5.804,5.525,1.675,2.344
257.000,5.350,5.031,1.514,2.326
258.000,5.403,5.075,1.527,2.332
259.000,14.260,15.407,4.781,4.913
260.000,8.145,8.548,2.759,2.983
261.000,4.215,4.334,1.439,1.677
262.000,2.181,2.187,0.736,0.893
263.000,2.528,2.481,0.828,1.070
264.000,2.894,2.860,0.967,1.195
265.000,2.854,2.869,0.983,1.276
266.000,3.302,3.325,1.140,1.423
267.000,4.478,4.617,1.663,2.419
268.000,4.707,4.818,1.740,2.391
269.000,4.864,4.997,1.814,2.449
270.000,5.052,5.193,1.888,2.491
271.000,5.586,5.768,2.099,2.756
272.000,5.945,6.189,2.250,2.957
273.000,6.277,6.550,2.374,3.049
274.000,7.082,7.470,2.684,3.440
275.000,5.791,6.023,2.204,2.893
276.000,5.353,5.497,2.034,2.622
277.000,5.122,5.147,1.932,2.434
278.000,5.516,5.424,2.053,2.549
279.000,6.164,6.017,2.280,2.704
280.000,6.519,6.339,2.407,2.787
281.000,12.275,11.510,4.476,4.637
282.000,7.630,7.285,2.754,3.050
283.000,7.655,7.324,2.771,2.994
284.000,3.380,3.317,1.222,1.400
285.000,2.961,2.994,1.079,1.306
286.000,3.043,3.030,1.096,1.390
287.000,3.830,3.730,1.381,1.696
288.000,2.721,2.686,0.983,1.336
289.000,2.975,2.922,1.082,1.424
290.000,3.246,3.193,1.197,1.506
291.000,3.972,3.880,1.483,1.847
292.000,5.247,5.069,1.963,2.387
293.000,5.697,5.501,2.124,2.519
294.000,8.041,7.666,3.006,3.313
295.000,7.792,7.447,2.929,3.190
296.000,4.363,4.216,1.647,2.086
297.000,5.413,5.320,2.180,2.821
298.000,5.082,5.040,2.088,2.726
299.000,4.838,4.930,2.112,2.863
300.000,4.812,4.952,2.133,2.978
301.000,4.875,4.886,2.112,2.810
302.000,5.709,5.664,2.452,2.986
303.000,6.457,6.363,2.778,3.375
304.000,5.878,5.872,2.609,3.378
305.000,5.482,5.588,2.516,3.488
306.000,6.451,6.601,2.950,3.932
307.000,6.899,7.017,3.127,3.987
308.000,6.924,6.923,3.111,3.874
309.000,7.580,7.565,3.395,4.048
310.000,8.531,8.321,3.742,4.262
311.000,10.952,10.288,4.643,5.028
312.000,10.390,9.813,4.391,4.717
313.000,12.566,11.748,5.259,5.523
314.000,10.776,10.132,4.452,4.810
315.000,11.767,11.058,4.838,5.030
316.000,8.777,8.350,3.586,3.844
317.000,5.684,5.475,2.313,2.686
318.000,6.677,6.405,2.728,3.075
319.000,8.433,8.023,3.443,3.782
320.000,5.924,5.663,2.415,3.024
321.000,6.694,6.395,2.726,3.233
322.000,7.172,6.855,2.918,3.332
323.000,7.272,6.945,2.980,3.458
324.000,6.139,5.925,2.553,3.055
325.000,10.106,9.525,4.136,4.562
326.000,8.924,8.406,3.609,4.244
327.000,8.708,8.216,3.484,4.103
328.000,8.602,8.176,3.413,3.874
329.000,10.141,9.551,3.951,4.372
330.000,12.333,11.481,4.749,5.169
331.000,14.369,13.295,5.550,5.827
332.000,12.365,11.499,4.699,5.131
333.000,10.656,9.972,4.023,4.520
334.000,9.420,8.862,3.528,4.047
335.000,9.978,9.399,3.718,4.106
336.000,10.767,10.146,3.991,4.234
337.000,8.096,7.706,2.964,3.306
338.000,8.501,8.100,3.121,3.358
339.000,6.307,6.063,2.305,2.599
340.000,4.587,4.443,1.681,2.011
341.000,4.233,4.108,1.553,1.878
342.000,3.980,3.877,1.461,1.759
343.000,3.554,3.516,1.311,1.585
344.000,3.100,3.180,1.168,1.630
345.000,3.574,3.513,1.310,1.644
346.000,3.380,3.483,1.240,1.649
347.000,3.685,3.705,1.347,1.562
348.000,4.339,4.476,1.597,2.150
349.000,4.464,4.661,1.632,2.306
350.000,4.517,4.727,1.649,2.352
351.000,5.330,5.468,1.897,2.524
352.000,5.370,5.525,1.903,2.562
